,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
0,global,0.27048952380952385,0.2164,0.2479,0.3115,0.2815,0.2319,0.286,0.2497,0.2907,0.2274,0.2837,0.2698,0.2222,0.2766,0.2779,0.318,0.2218,0.2756,0.269,0.2587,0.2823,0.3396,0.2867,0.244,0.2884,0.1976,0.2711,0.2612,0.2298,0.251,0.2671,0.2489,0.2649,0.2704,0.2879,0.2912,0.2814,0.2794,0.2668,0.2237,0.2853,0.28,0.2856,0.2592,0.2817,0.2743,0.2762,0.2791,0.3897,0.2649,0.2864,0.2895,0.1861,0.2752,0.2879,0.2874,0.2924,0.2628,0.2837,0.3344,0.2936,0.2361,0.2911,0.2419,0.2917,0.2922,0.2766,0.295,0.2872,0.2939,0.2777,0.2351,0.2432,0.2786,0.2801,0.2966,0.2423,0.2428,0.244,0.1649,0.2886,0.2729,0.2774,0.2449,0.2639,0.2355,0.2878,0.2825,0.2717,0.241,0.2863,0.2425,0.2848,0.2346,0.2554,0.2906,0.3637,0.2981,0.2958,0.2752,0.2501,0.2828,0.2714,0.2324,0.268,0.2874
1,model_0,0.19603794642857142,0.09375,0.1845703125,0.2392578125,0.2236328125,0.201171875,0.2080078125,0.1904296875,0.265625,0.0908203125,0.1796875,0.1982421875,0.1767578125,0.28515625,0.177734375,0.23046875,0.177734375,0.24609375,0.177734375,0.1328125,0.23828125,0.1396484375,0.2265625,0.1904296875,0.27734375,0.1181640625,0.1630859375,0.185546875,0.125,0.1728515625,0.150390625,0.1923828125,0.234375,0.23046875,0.2568359375,0.1884765625,0.150390625,0.2294921875,0.1689453125,0.19921875,0.189453125,0.162109375,0.2431640625,0.1875,0.1533203125,0.25390625,0.1533203125,0.173828125,0.23046875,0.24609375,0.1484375,0.2783203125,0.1123046875,0.2626953125,0.162109375,0.2802734375,0.19140625,0.1728515625,0.18359375,0.16015625,0.228515625,0.1259765625,0.2666015625,0.1845703125,0.1806640625,0.2783203125,0.2373046875,0.2431640625,0.265625,0.2626953125,0.189453125,0.1533203125,0.1259765625,0.140625,0.17578125,0.291015625,0.1796875,0.181640625,0.1953125,0.1396484375,0.189453125,0.16796875,0.208984375,0.130859375,0.2578125,0.17578125,0.1962890625,0.2734375,0.2138671875,0.095703125,0.2587890625,0.1953125,0.265625,0.1728515625,0.171875,0.19140625,0.08984375,0.1640625,0.26953125,0.19140625,0.1982421875,0.234375,0.2138671875,0.181640625,0.1513671875,0.21484375
2,model_1,0.16508556547619047,0.1328125,0.224609375,0.171875,0.0859375,0.08984375,0.16015625,0.103515625,0.232421875,0.0908203125,0.111328125,0.173828125,0.1806640625,0.099609375,0.0947265625,0.1376953125,0.103515625,0.076171875,0.189453125,0.1591796875,0.1005859375,0.1123046875,0.080078125,0.0947265625,0.162109375,0.1064453125,0.1318359375,0.0947265625,0.1044921875,0.1689453125,0.0771484375,0.0986328125,0.1748046875,0.1015625,0.2529296875,0.21484375,0.1845703125,0.130859375,0.103515625,0.1865234375,0.185546875,0.095703125,0.203125,0.111328125,0.0849609375,0.1669921875,0.2548828125,0.087890625,0.1572265625,0.193359375,0.1650390625,0.2578125,0.142578125,0.1630859375,0.091796875,0.13671875,0.193359375,0.1572265625,0.2392578125,0.1171875,0.111328125,0.1640625,0.181640625,0.193359375,0.228515625,0.1796875,0.1279296875,0.2587890625,0.2236328125,0.236328125,0.25390625,0.1396484375,0.208984375,0.162109375,0.189453125,0.2197265625,0.197265625,0.17578125,0.1748046875,0.189453125,0.2236328125,0.1728515625,0.17578125,0.1728515625,0.185546875,0.169921875,0.228515625,0.2578125,0.0947265625,0.1123046875,0.2783203125,0.2509765625,0.1875,0.1904296875,0.1640625,0.2392578125,0.08984375,0.24609375,0.189453125,0.2373046875,0.181640625,0.18359375,0.1826171875,0.1787109375,0.18359375,0.2353515625
3,model_2,0.18371465773809523,0.177734375,0.2109375,0.091796875,0.10546875,0.09375,0.1025390625,0.0888671875,0.1123046875,0.119140625,0.111328125,0.2080078125,0.1025390625,0.099609375,0.1865234375,0.1552734375,0.103515625,0.1552734375,0.1806640625,0.140625,0.162109375,0.0986328125,0.2607421875,0.0947265625,0.2099609375,0.09765625,0.140625,0.1630859375,0.162109375,0.1865234375,0.232421875,0.146484375,0.1982421875,0.1015625,0.2744140625,0.259765625,0.171875,0.1884765625,0.107421875,0.1025390625,0.2529296875,0.1875,0.236328125,0.1953125,0.083984375,0.1103515625,0.255859375,0.1865234375,0.109375,0.1953125,0.201171875,0.2607421875,0.1650390625,0.1630859375,0.140625,0.193359375,0.181640625,0.1904296875,0.244140625,0.171875,0.1025390625,0.17578125,0.25390625,0.1845703125,0.2607421875,0.2255859375,0.1953125,0.2666015625,0.2490234375,0.26171875,0.2587890625,0.1689453125,0.1884765625,0.240234375,0.2646484375,0.2138671875,0.1875,0.1884765625,0.1904296875,0.1875,0.2783203125,0.1650390625,0.1552734375,0.1865234375,0.2099609375,0.1904296875,0.25,0.259765625,0.1826171875,0.0927734375,0.2861328125,0.21484375,0.267578125,0.19140625,0.166015625,0.2177734375,0.0947265625,0.2470703125,0.2568359375,0.2568359375,0.1904296875,0.23828125,0.18359375,0.19140625,0.18359375,0.2373046875
4,model_3,0.19363839285714285,0.1611328125,0.1845703125,0.1865234375,0.2490234375,0.09375,0.099609375,0.208984375,0.115234375,0.119140625,0.111328125,0.2451171875,0.1025390625,0.099609375,0.240234375,0.138671875,0.10546875,0.2470703125,0.1787109375,0.1064453125,0.2470703125,0.091796875,0.15234375,0.0947265625,0.2470703125,0.103515625,0.16015625,0.193359375,0.1279296875,0.2138671875,0.1845703125,0.0927734375,0.119140625,0.1103515625,0.267578125,0.26171875,0.1279296875,0.1904296875,0.1640625,0.171875,0.2099609375,0.2275390625,0.20703125,0.19140625,0.0986328125,0.19140625,0.27734375,0.1591796875,0.1220703125,0.1796875,0.2431640625,0.2783203125,0.1416015625,0.2626953125,0.2099609375,0.1982421875,0.189453125,0.1875,0.2353515625,0.19921875,0.14453125,0.1884765625,0.1748046875,0.17578125,0.2744140625,0.2548828125,0.2314453125,0.2705078125,0.2490234375,0.251953125,0.1904296875,0.1591796875,0.185546875,0.2197265625,0.25,0.2890625,0.224609375,0.185546875,0.2001953125,0.1728515625,0.271484375,0.1796875,0.216796875,0.18359375,0.259765625,0.1845703125,0.23046875,0.2509765625,0.21875,0.1083984375,0.296875,0.251953125,0.2724609375,0.1923828125,0.177734375,0.255859375,0.1259765625,0.2470703125,0.2685546875,0.2509765625,0.1767578125,0.2529296875,0.201171875,0.1806640625,0.2216796875,0.236328125
5,model_4,0.19744233630952382,0.162109375,0.2236328125,0.18359375,0.10546875,0.171875,0.169921875,0.2197265625,0.115234375,0.1435546875,0.1123046875,0.1875,0.1015625,0.2890625,0.2138671875,0.205078125,0.1416015625,0.2099609375,0.1806640625,0.13671875,0.134765625,0.1201171875,0.2197265625,0.0947265625,0.2255859375,0.1259765625,0.1865234375,0.197265625,0.1376953125,0.1953125,0.224609375,0.09375,0.1416015625,0.197265625,0.2822265625,0.2626953125,0.1083984375,0.166015625,0.169921875,0.1806640625,0.185546875,0.1962890625,0.2099609375,0.197265625,0.1552734375,0.2021484375,0.248046875,0.177734375,0.0859375,0.197265625,0.193359375,0.267578125,0.1123046875,0.265625,0.0927734375,0.19140625,0.181640625,0.1884765625,0.2314453125,0.1728515625,0.1181640625,0.1875,0.23046875,0.18359375,0.275390625,0.2734375,0.2216796875,0.265625,0.255859375,0.25,0.2412109375,0.1689453125,0.1865234375,0.2353515625,0.263671875,0.2919921875,0.220703125,0.181640625,0.1904296875,0.1982421875,0.26953125,0.1884765625,0.2001953125,0.1875,0.2109375,0.185546875,0.21875,0.26953125,0.2138671875,0.1357421875,0.2998046875,0.2470703125,0.26953125,0.1904296875,0.1611328125,0.2421875,0.1552734375,0.2470703125,0.2646484375,0.2509765625,0.201171875,0.2626953125,0.232421875,0.216796875,0.23828125,0.240234375
6,model_5,0.20167410714285713,0.201171875,0.169921875,0.091796875,0.248046875,0.150390625,0.19921875,0.111328125,0.115234375,0.1923828125,0.162109375,0.1572265625,0.1689453125,0.1875,0.240234375,0.1259765625,0.099609375,0.25390625,0.1953125,0.1552734375,0.216796875,0.12109375,0.205078125,0.0947265625,0.2587890625,0.111328125,0.19921875,0.1396484375,0.109375,0.1826171875,0.1943359375,0.0966796875,0.224609375,0.203125,0.2763671875,0.2666015625,0.1279296875,0.2138671875,0.1484375,0.1796875,0.2529296875,0.224609375,0.263671875,0.236328125,0.1630859375,0.177734375,0.27734375,0.1767578125,0.18359375,0.2275390625,0.1630859375,0.2626953125,0.1123046875,0.2685546875,0.1904296875,0.2216796875,0.1875,0.1796875,0.26171875,0.1923828125,0.099609375,0.169921875,0.2646484375,0.17578125,0.26953125,0.2568359375,0.1943359375,0.26953125,0.2490234375,0.275390625,0.26953125,0.1474609375,0.1865234375,0.2509765625,0.2529296875,0.2939453125,0.2060546875,0.1796875,0.189453125,0.1953125,0.2822265625,0.16015625,0.2294921875,0.189453125,0.2578125,0.2060546875,0.2158203125,0.2763671875,0.2177734375,0.0927734375,0.2978515625,0.234375,0.2880859375,0.203125,0.169921875,0.2568359375,0.091796875,0.2373046875,0.2646484375,0.255859375,0.197265625,0.2509765625,0.2109375,0.2109375,0.2294921875,0.232421875
7,model_6,0.20712425595238096,0.181640625,0.23046875,0.103515625,0.1435546875,0.1611328125,0.1884765625,0.193359375,0.173828125,0.1962890625,0.2353515625,0.1669921875,0.228515625,0.2001953125,0.2314453125,0.1240234375,0.0888671875,0.24609375,0.1875,0.1533203125,0.255859375,0.091796875,0.2412109375,0.0849609375,0.3056640625,0.1748046875,0.177734375,0.185546875,0.150390625,0.201171875,0.18359375,0.146484375,0.1884765625,0.2509765625,0.2734375,0.25,0.1787109375,0.21484375,0.16015625,0.1728515625,0.087890625,0.1962890625,0.2431640625,0.2265625,0.20703125,0.228515625,0.1904296875,0.162109375,0.212890625,0.1767578125,0.2001953125,0.2734375,0.1083984375,0.2529296875,0.25390625,0.2080078125,0.1806640625,0.1904296875,0.2685546875,0.201171875,0.134765625,0.1904296875,0.25390625,0.201171875,0.275390625,0.2734375,0.22265625,0.26953125,0.2265625,0.25390625,0.271484375,0.1474609375,0.201171875,0.25,0.2587890625,0.298828125,0.2197265625,0.2080078125,0.2001953125,0.19921875,0.2666015625,0.171875,0.1767578125,0.1865234375,0.2802734375,0.224609375,0.2587890625,0.2744140625,0.2158203125,0.115234375,0.298828125,0.25,0.2822265625,0.1845703125,0.166015625,0.2568359375,0.1298828125,0.232421875,0.2607421875,0.2626953125,0.1904296875,0.255859375,0.205078125,0.2060546875,0.1982421875,0.248046875
8,model_7,0.20638020833333334,0.2021484375,0.220703125,0.1376953125,0.1796875,0.16796875,0.2158203125,0.1962890625,0.1357421875,0.18359375,0.142578125,0.1796875,0.220703125,0.2626953125,0.23828125,0.1767578125,0.0888671875,0.2451171875,0.1787109375,0.142578125,0.2724609375,0.095703125,0.25,0.0869140625,0.3017578125,0.1533203125,0.2373046875,0.1640625,0.15234375,0.1767578125,0.2119140625,0.0927734375,0.19140625,0.169921875,0.28125,0.259765625,0.1796875,0.134765625,0.126953125,0.177734375,0.1435546875,0.21875,0.2275390625,0.2294921875,0.1767578125,0.1806640625,0.2294921875,0.1982421875,0.185546875,0.19140625,0.2490234375,0.23828125,0.1494140625,0.2236328125,0.181640625,0.2021484375,0.20703125,0.232421875,0.2529296875,0.173828125,0.142578125,0.185546875,0.2451171875,0.185546875,0.267578125,0.25390625,0.21875,0.2724609375,0.2626953125,0.2744140625,0.255859375,0.1728515625,0.2001953125,0.2333984375,0.259765625,0.2919921875,0.2041015625,0.1787109375,0.197265625,0.18359375,0.2734375,0.17578125,0.2470703125,0.1884765625,0.2568359375,0.19921875,0.25,0.2822265625,0.2314453125,0.107421875,0.2822265625,0.2412109375,0.2822265625,0.1865234375,0.177734375,0.255859375,0.0908203125,0.2451171875,0.2734375,0.251953125,0.193359375,0.26171875,0.234375,0.1943359375,0.234375,0.2421875
9,model_8,0.21370907738095238,0.17578125,0.177734375,0.1865234375,0.19921875,0.185546875,0.2548828125,0.1962890625,0.1513671875,0.1904296875,0.2470703125,0.201171875,0.22265625,0.291015625,0.234375,0.2158203125,0.2119140625,0.232421875,0.189453125,0.1552734375,0.263671875,0.1220703125,0.25390625,0.0859375,0.28125,0.1552734375,0.20703125,0.1904296875,0.154296875,0.2177734375,0.2119140625,0.1357421875,0.1865234375,0.224609375,0.2744140625,0.265625,0.177734375,0.21484375,0.2216796875,0.091796875,0.2607421875,0.228515625,0.20703125,0.1943359375,0.177734375,0.1806640625,0.271484375,0.201171875,0.1787109375,0.1953125,0.2431640625,0.255859375,0.1220703125,0.267578125,0.25,0.2607421875,0.208984375,0.2373046875,0.2119140625,0.1884765625,0.1328125,0.181640625,0.26171875,0.197265625,0.244140625,0.265625,0.2587890625,0.2646484375,0.1669921875,0.25390625,0.2392578125,0.146484375,0.21484375,0.2451171875,0.26171875,0.2890625,0.2109375,0.18359375,0.1982421875,0.1630859375,0.2861328125,0.1728515625,0.1708984375,0.1953125,0.2646484375,0.185546875,0.2529296875,0.26171875,0.251953125,0.1328125,0.2978515625,0.2548828125,0.2841796875,0.1875,0.1630859375,0.2607421875,0.0947265625,0.248046875,0.2724609375,0.2578125,0.1884765625,0.2646484375,0.2490234375,0.1796875,0.234375,0.25
