,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.3571854545454546,0.262,0.3391,0.2938,0.2922,0.358,0.5745,0.3097,0.3373,0.3323,0.3373,0.4497,0.2872,0.2843,0.3573,0.3631,0.4686,0.528,0.2697,0.4403,0.3965,0.2893,0.318,0.3829,0.2546,0.4298,0.3114,0.3133,0.6328,0.2924,0.3809,0.3589,0.3135,0.4151,0.3157,0.3936,0.3288,0.2176,0.3615,0.3064,0.5141,0.2542,0.3748,0.3093,0.6959,0.3617,0.2878,0.3015,0.3338,0.3212,0.2848,0.4503,0.2815,0.3138,0.3245,0.3386
1,model_0,0.18453480113636364,0.1796875,0.185546875,0.19140625,0.1767578125,0.1689453125,0.16796875,0.185546875,0.1953125,0.248046875,0.1142578125,0.2001953125,0.1875,0.130859375,0.255859375,0.2294921875,0.1015625,0.2509765625,0.1611328125,0.2841796875,0.193359375,0.17578125,0.1552734375,0.125,0.099609375,0.16015625,0.185546875,0.0908203125,0.185546875,0.0966796875,0.19140625,0.287109375,0.2666015625,0.2763671875,0.173828125,0.1875,0.25390625,0.12109375,0.15625,0.1181640625,0.2021484375,0.1748046875,0.095703125,0.1982421875,0.1552734375,0.0947265625,0.185546875,0.2734375,0.2060546875,0.189453125,0.0888671875,0.2021484375,0.279296875,0.220703125,0.2490234375,0.21875
2,model_1,0.1376048900462963,0.1572265625,0.18359375,0.1005859375,0.0966796875,0.087890625,0.0966796875,0.1015625,0.2021484375,0.1025390625,0.1064453125,0.1103515625,0.09765625,0.1015625,0.091796875,0.0810546875,0.087890625,0.0810546875,0.0849609375,0.1025390625,0.087890625,0.103515625,0.095703125,0.1064453125,0.1650390625,0.087890625,0.1474609375,0.1005859375,0.1298828125,0.0947265625,0.1015625,0.3076171875,0.1044921875,0.21875,0.140625,0.1884765625,0.1005859375,0.16015625,0.08984375,0.1640625,0.0986328125,0.1044921875,0.1103515625,0.2255859375,0.185546875,0.1669921875,0.2783203125,0.20703125,0.2275390625,0.1357421875,0.1865234375,0.154296875,0.279296875,0.19921875,0.2060546875,0.1748046875
3,model_2,0.15963179976851852,0.1591796875,0.1826171875,0.16015625,0.2412109375,0.1005859375,0.0966796875,0.1796875,0.1982421875,0.2021484375,0.1064453125,0.1962890625,0.162109375,0.1015625,0.1025390625,0.0810546875,0.087890625,0.1552734375,0.0849609375,0.1005859375,0.1103515625,0.1904296875,0.095703125,0.1484375,0.10546875,0.087890625,0.2294921875,0.1005859375,0.125,0.150390625,0.1953125,0.23046875,0.134765625,0.2138671875,0.15625,0.166015625,0.1875,0.09765625,0.08984375,0.189453125,0.1826171875,0.1044921875,0.1328125,0.21484375,0.2373046875,0.1611328125,0.2724609375,0.2080078125,0.146484375,0.1923828125,0.2275390625,0.1640625,0.279296875,0.171875,0.2666015625,0.2333984375
4,model_3,0.1844798900462963,0.2060546875,0.2314453125,0.25390625,0.16015625,0.1005859375,0.21484375,0.08984375,0.27734375,0.150390625,0.107421875,0.203125,0.185546875,0.1669921875,0.1904296875,0.1650390625,0.0927734375,0.0810546875,0.0849609375,0.1025390625,0.2275390625,0.1875,0.2294921875,0.1416015625,0.2021484375,0.1025390625,0.2431640625,0.1171875,0.201171875,0.1630859375,0.26953125,0.248046875,0.1826171875,0.263671875,0.1474609375,0.2158203125,0.1298828125,0.1572265625,0.146484375,0.2216796875,0.2548828125,0.1044921875,0.125,0.201171875,0.1865234375,0.1796875,0.1982421875,0.283203125,0.181640625,0.24609375,0.2158203125,0.2197265625,0.279296875,0.2265625,0.251953125,0.224609375
5,model_4,0.18212890625,0.1923828125,0.24609375,0.14453125,0.2509765625,0.1005859375,0.080078125,0.095703125,0.208984375,0.1025390625,0.166015625,0.2021484375,0.185546875,0.181640625,0.2529296875,0.166015625,0.08984375,0.1689453125,0.1552734375,0.16796875,0.1103515625,0.197265625,0.1826171875,0.1669921875,0.1611328125,0.1015625,0.12890625,0.103515625,0.19140625,0.140625,0.2724609375,0.3046875,0.2763671875,0.28125,0.146484375,0.23828125,0.1865234375,0.1337890625,0.21484375,0.2080078125,0.1494140625,0.1044921875,0.1455078125,0.2578125,0.1376953125,0.1767578125,0.26953125,0.21875,0.1748046875,0.244140625,0.1845703125,0.166015625,0.279296875,0.185546875,0.2685546875,0.24609375
6,model_5,0.19599971064814814,0.1640625,0.1611328125,0.1943359375,0.162109375,0.0849609375,0.1435546875,0.185546875,0.25,0.171875,0.1064453125,0.2421875,0.1865234375,0.212890625,0.275390625,0.169921875,0.1005859375,0.2373046875,0.0849609375,0.1005859375,0.1162109375,0.1962890625,0.2607421875,0.1640625,0.17578125,0.1025390625,0.2216796875,0.111328125,0.099609375,0.1494140625,0.26953125,0.28515625,0.28515625,0.216796875,0.162109375,0.1826171875,0.2255859375,0.1572265625,0.1796875,0.2373046875,0.2705078125,0.1806640625,0.1552734375,0.2578125,0.2099609375,0.2353515625,0.2880859375,0.2744140625,0.228515625,0.2626953125,0.2158203125,0.21875,0.279296875,0.236328125,0.2783203125,0.23828125
7,model_6,0.1973560474537037,0.2021484375,0.23046875,0.2548828125,0.0986328125,0.0927734375,0.0791015625,0.1796875,0.197265625,0.2451171875,0.0830078125,0.236328125,0.2041015625,0.212890625,0.1875,0.1669921875,0.1728515625,0.2353515625,0.0849609375,0.1044921875,0.1201171875,0.2177734375,0.2265625,0.18359375,0.17578125,0.1025390625,0.21484375,0.1533203125,0.2470703125,0.17578125,0.2333984375,0.2998046875,0.2802734375,0.228515625,0.1884765625,0.2412109375,0.1845703125,0.181640625,0.1845703125,0.1904296875,0.2060546875,0.1630859375,0.16796875,0.240234375,0.228515625,0.205078125,0.271484375,0.259765625,0.2470703125,0.1943359375,0.25390625,0.1962890625,0.279296875,0.2197265625,0.2568359375,0.248046875
8,model_7,0.20433666087962962,0.177734375,0.23046875,0.205078125,0.16015625,0.10546875,0.099609375,0.1591796875,0.2705078125,0.2763671875,0.1064453125,0.2490234375,0.1982421875,0.1982421875,0.2724609375,0.234375,0.19921875,0.2587890625,0.0849609375,0.142578125,0.21875,0.18359375,0.240234375,0.1806640625,0.203125,0.125,0.2607421875,0.11328125,0.099609375,0.181640625,0.2744140625,0.2822265625,0.2880859375,0.2900390625,0.1220703125,0.220703125,0.23828125,0.1923828125,0.212890625,0.228515625,0.228515625,0.1630859375,0.1767578125,0.228515625,0.166015625,0.2216796875,0.275390625,0.271484375,0.2353515625,0.1943359375,0.2041015625,0.19140625,0.279296875,0.17578125,0.2724609375,0.244140625
9,model_8,0.21166087962962962,0.17578125,0.2421875,0.2333984375,0.2119140625,0.0947265625,0.203125,0.1845703125,0.2001953125,0.1923828125,0.1064453125,0.2705078125,0.1943359375,0.18359375,0.2412109375,0.1982421875,0.1279296875,0.2060546875,0.0849609375,0.171875,0.20703125,0.201171875,0.2353515625,0.171875,0.2060546875,0.1572265625,0.2666015625,0.181640625,0.255859375,0.158203125,0.2861328125,0.294921875,0.29296875,0.294921875,0.1484375,0.1953125,0.1875,0.185546875,0.22265625,0.23828125,0.2529296875,0.16796875,0.1630859375,0.2509765625,0.2265625,0.212890625,0.2890625,0.26953125,0.203125,0.263671875,0.2431640625,0.2294921875,0.279296875,0.216796875,0.279296875,0.25
10,model_9,0.22204137731481483,0.2001953125,0.25390625,0.25390625,0.2236328125,0.111328125,0.169921875,0.193359375,0.208984375,0.2744140625,0.1064453125,0.259765625,0.2568359375,0.2080078125,0.2490234375,0.251953125,0.1630859375,0.23046875,0.1513671875,0.2021484375,0.19921875,0.220703125,0.2607421875,0.16796875,0.2109375,0.1689453125,0.2744140625,0.1494140625,0.2587890625,0.1748046875,0.2724609375,0.302734375,0.27734375,0.2919921875,0.1376953125,0.2158203125,0.25390625,0.181640625,0.212890625,0.2333984375,0.26953125,0.1787109375,0.1640625,0.24609375,0.2412109375,0.228515625,0.294921875,0.283203125,0.2294921875,0.2412109375,0.2529296875,0.197265625,0.279296875,0.21484375,0.2705078125,0.2431640625
11,model_10,0.2203052662037037,0.193359375,0.251953125,0.2607421875,0.2412109375,0.0859375,0.2314453125,0.1962890625,0.208984375,0.2353515625,0.1064453125,0.1904296875,0.1865234375,0.2392578125,0.2333984375,0.2724609375,0.15234375,0.244140625,0.0849609375,0.2197265625,0.2255859375,0.2255859375,0.236328125,0.169921875,0.2021484375,0.1787109375,0.2763671875,0.169921875,0.18359375,0.17578125,0.275390625,0.296875,0.2841796875,0.2939453125,0.220703125,0.2587890625,0.259765625,0.181640625,0.1923828125,0.236328125,0.2685546875,0.1689453125,0.166015625,0.2509765625,0.283203125,0.216796875,0.2802734375,0.27734375,0.2734375,0.2333984375,0.205078125,0.1796875,0.279296875,0.19921875,0.2666015625,0.248046875
