,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.27716727272727276,0.2273,0.2779,0.2462,0.281,0.2699,0.2279,0.2054,0.2987,0.2911,0.2767,0.2697,0.2879,0.2966,0.2842,0.2973,0.2106,0.2529,0.2427,0.2525,0.2928,0.2928,0.2042,0.2775,0.2091,0.2875,0.2901,0.2817,0.2437,0.2811,0.2654,0.2905,0.2909,0.3091,0.2934,0.2882,0.2873,0.2893,0.3089,0.2956,0.4379,0.2914,0.2868,0.2708,0.2923,0.2886,0.2869,0.2924,0.2834,0.286,0.2819,0.2577,0.2927,0.2578,0.3083,0.2537
1,model_0,0.19944957386363638,0.19140625,0.236328125,0.1630859375,0.2568359375,0.1123046875,0.125,0.1357421875,0.193359375,0.1943359375,0.275390625,0.2177734375,0.140625,0.2412109375,0.228515625,0.1865234375,0.1181640625,0.1591796875,0.16015625,0.18359375,0.263671875,0.2646484375,0.1376953125,0.197265625,0.1640625,0.2509765625,0.11328125,0.1953125,0.1708984375,0.166015625,0.1572265625,0.2294921875,0.234375,0.23828125,0.150390625,0.171875,0.2109375,0.23046875,0.2216796875,0.283203125,0.11328125,0.228515625,0.2744140625,0.2109375,0.2587890625,0.181640625,0.259765625,0.1904296875,0.1943359375,0.173828125,0.185546875,0.1923828125,0.2578125,0.1923828125,0.2607421875,0.2236328125
2,model_1,0.17043678977272728,0.0986328125,0.1962890625,0.19140625,0.0966796875,0.0966796875,0.111328125,0.087890625,0.10546875,0.11328125,0.0986328125,0.115234375,0.16796875,0.0927734375,0.1328125,0.2255859375,0.1005859375,0.181640625,0.1650390625,0.18359375,0.2119140625,0.1728515625,0.09765625,0.1962890625,0.076171875,0.1923828125,0.173828125,0.1064453125,0.1884765625,0.181640625,0.107421875,0.2548828125,0.22265625,0.228515625,0.177734375,0.1728515625,0.16796875,0.1533203125,0.203125,0.2724609375,0.1298828125,0.1875,0.2822265625,0.185546875,0.2578125,0.1728515625,0.1875,0.25390625,0.1748046875,0.171875,0.234375,0.17578125,0.22265625,0.193359375,0.1982421875,0.2255859375
3,model_2,0.18483664772727273,0.0927734375,0.15625,0.103515625,0.1865234375,0.1162109375,0.1455078125,0.087890625,0.109375,0.142578125,0.1904296875,0.1806640625,0.103515625,0.1982421875,0.1396484375,0.0908203125,0.1044921875,0.1591796875,0.173828125,0.1611328125,0.2373046875,0.2255859375,0.1474609375,0.169921875,0.1240234375,0.2265625,0.23046875,0.1923828125,0.2041015625,0.2041015625,0.1796875,0.2451171875,0.1728515625,0.21875,0.1728515625,0.2666015625,0.0888671875,0.2451171875,0.185546875,0.2490234375,0.2392578125,0.1904296875,0.2666015625,0.23828125,0.2275390625,0.216796875,0.2568359375,0.25390625,0.1552734375,0.1806640625,0.259765625,0.185546875,0.2490234375,0.193359375,0.23828125,0.185546875
4,model_3,0.1885653409090909,0.0927734375,0.2001953125,0.134765625,0.1689453125,0.1943359375,0.111328125,0.11328125,0.109375,0.2001953125,0.1650390625,0.1181640625,0.103515625,0.244140625,0.2568359375,0.1806640625,0.1005859375,0.1494140625,0.1923828125,0.171875,0.2021484375,0.1923828125,0.09765625,0.1962890625,0.0908203125,0.236328125,0.1787109375,0.173828125,0.201171875,0.169921875,0.1083984375,0.2548828125,0.1943359375,0.2265625,0.2451171875,0.2734375,0.166015625,0.244140625,0.232421875,0.2041015625,0.14453125,0.2666015625,0.2373046875,0.1875,0.2607421875,0.2021484375,0.232421875,0.2626953125,0.1708984375,0.1572265625,0.2802734375,0.208984375,0.2314453125,0.193359375,0.2412109375,0.197265625
5,model_4,0.20143821022727273,0.1015625,0.1083984375,0.083984375,0.1787109375,0.2080078125,0.087890625,0.0888671875,0.12890625,0.208984375,0.1904296875,0.1962890625,0.12890625,0.150390625,0.2138671875,0.2451171875,0.0986328125,0.177734375,0.193359375,0.18359375,0.2890625,0.1953125,0.1025390625,0.2333984375,0.1416015625,0.2626953125,0.271484375,0.2333984375,0.208984375,0.2333984375,0.1650390625,0.2509765625,0.212890625,0.2353515625,0.244140625,0.279296875,0.154296875,0.2119140625,0.2099609375,0.29296875,0.2255859375,0.2529296875,0.2783203125,0.232421875,0.236328125,0.2158203125,0.251953125,0.2626953125,0.1865234375,0.2158203125,0.2734375,0.185546875,0.2412109375,0.193359375,0.228515625,0.1962890625
6,model_5,0.19762073863636365,0.111328125,0.107421875,0.0927734375,0.1845703125,0.1083984375,0.087890625,0.0986328125,0.109375,0.236328125,0.2568359375,0.20703125,0.15234375,0.19140625,0.197265625,0.1806640625,0.109375,0.150390625,0.212890625,0.19140625,0.2626953125,0.267578125,0.1064453125,0.2236328125,0.130859375,0.25,0.201171875,0.216796875,0.20703125,0.2470703125,0.1669921875,0.2353515625,0.1943359375,0.2578125,0.2236328125,0.2431640625,0.142578125,0.232421875,0.2080078125,0.2109375,0.1962890625,0.24609375,0.2578125,0.18359375,0.193359375,0.251953125,0.259765625,0.26171875,0.2314453125,0.1689453125,0.2734375,0.232421875,0.255859375,0.203125,0.23828125,0.2001953125
7,model_6,0.1989346590909091,0.162109375,0.138671875,0.185546875,0.0966796875,0.1552734375,0.0908203125,0.1005859375,0.1845703125,0.2490234375,0.193359375,0.197265625,0.103515625,0.2275390625,0.1865234375,0.1904296875,0.0986328125,0.162109375,0.1953125,0.1552734375,0.291015625,0.2607421875,0.146484375,0.189453125,0.0927734375,0.1923828125,0.244140625,0.19140625,0.171875,0.1748046875,0.166015625,0.2470703125,0.1943359375,0.25390625,0.2255859375,0.2666015625,0.166015625,0.24609375,0.197265625,0.216796875,0.158203125,0.2578125,0.23828125,0.2119140625,0.2568359375,0.248046875,0.251953125,0.2490234375,0.26171875,0.1572265625,0.2783203125,0.2314453125,0.25390625,0.2138671875,0.2646484375,0.2001953125
8,model_7,0.20261008522727272,0.1015625,0.1796875,0.1259765625,0.232421875,0.19921875,0.1689453125,0.1171875,0.1337890625,0.2314453125,0.19140625,0.1796875,0.1328125,0.20703125,0.1494140625,0.1826171875,0.0986328125,0.1748046875,0.19921875,0.134765625,0.2373046875,0.1904296875,0.09375,0.2333984375,0.1484375,0.232421875,0.271484375,0.2490234375,0.22265625,0.1796875,0.1640625,0.2568359375,0.2314453125,0.2216796875,0.244140625,0.2548828125,0.1982421875,0.2451171875,0.185546875,0.205078125,0.1611328125,0.2421875,0.2734375,0.212890625,0.2470703125,0.24609375,0.26171875,0.2568359375,0.2490234375,0.19921875,0.2861328125,0.205078125,0.2568359375,0.193359375,0.2431640625,0.203125
9,model_8,0.2041193181818182,0.1318359375,0.1875,0.181640625,0.154296875,0.201171875,0.115234375,0.0869140625,0.1201171875,0.275390625,0.212890625,0.2236328125,0.103515625,0.2412109375,0.201171875,0.232421875,0.14453125,0.1728515625,0.1865234375,0.1865234375,0.306640625,0.251953125,0.1259765625,0.1591796875,0.1455078125,0.193359375,0.2265625,0.2587890625,0.205078125,0.1904296875,0.20703125,0.2333984375,0.1953125,0.2099609375,0.2490234375,0.234375,0.15625,0.2294921875,0.1923828125,0.2646484375,0.1796875,0.2177734375,0.2802734375,0.216796875,0.2275390625,0.2470703125,0.2451171875,0.2626953125,0.2373046875,0.208984375,0.2861328125,0.1865234375,0.181640625,0.1865234375,0.2724609375,0.1953125
10,model_9,0.2139559659090909,0.166015625,0.2294921875,0.1806640625,0.1279296875,0.193359375,0.1220703125,0.0986328125,0.1943359375,0.271484375,0.263671875,0.1904296875,0.1494140625,0.2685546875,0.2314453125,0.1796875,0.1455078125,0.1923828125,0.2021484375,0.1923828125,0.25,0.2666015625,0.095703125,0.2158203125,0.12890625,0.255859375,0.26171875,0.2373046875,0.19921875,0.2158203125,0.166015625,0.2578125,0.1943359375,0.2392578125,0.244140625,0.2255859375,0.201171875,0.25,0.185546875,0.2900390625,0.1865234375,0.2705078125,0.2841796875,0.2119140625,0.2685546875,0.2294921875,0.255859375,0.2587890625,0.2626953125,0.1806640625,0.26953125,0.234375,0.2607421875,0.18359375,0.255859375,0.173828125
11,model_10,0.21340553977272728,0.0927734375,0.2080078125,0.17578125,0.2490234375,0.2099609375,0.111328125,0.0986328125,0.11328125,0.23046875,0.2666015625,0.19140625,0.15234375,0.232421875,0.2548828125,0.1708984375,0.1044921875,0.1806640625,0.173828125,0.1943359375,0.3056640625,0.1962890625,0.181640625,0.22265625,0.126953125,0.21875,0.271484375,0.2734375,0.2021484375,0.2353515625,0.1728515625,0.25,0.1953125,0.2509765625,0.2490234375,0.248046875,0.2236328125,0.244140625,0.185546875,0.224609375,0.2197265625,0.267578125,0.28125,0.189453125,0.2197265625,0.2373046875,0.2607421875,0.2529296875,0.2607421875,0.1982421875,0.26953125,0.234375,0.26171875,0.193359375,0.2724609375,0.228515625
12,model_11,0.21324573863636365,0.1728515625,0.173828125,0.17578125,0.2529296875,0.23828125,0.091796875,0.099609375,0.185546875,0.2587890625,0.1982421875,0.2119140625,0.1708984375,0.1845703125,0.25,0.181640625,0.14453125,0.1923828125,0.1845703125,0.1845703125,0.30859375,0.24609375,0.16015625,0.2255859375,0.1591796875,0.19140625,0.271484375,0.2158203125,0.19140625,0.240234375,0.17578125,0.2568359375,0.1923828125,0.2060546875,0.2431640625,0.275390625,0.2001953125,0.21875,0.19921875,0.2216796875,0.1611328125,0.263671875,0.27734375,0.2099609375,0.271484375,0.234375,0.244140625,0.2646484375,0.212890625,0.1748046875,0.2822265625,0.240234375,0.2529296875,0.2060546875,0.267578125,0.212890625
13,model_12,0.21949573863636362,0.1845703125,0.203125,0.1689453125,0.19140625,0.2275390625,0.1435546875,0.1220703125,0.1748046875,0.255859375,0.271484375,0.185546875,0.18359375,0.2626953125,0.2421875,0.1806640625,0.1962890625,0.185546875,0.2041015625,0.1845703125,0.2939453125,0.2724609375,0.1767578125,0.25,0.12890625,0.2333984375,0.2421875,0.263671875,0.224609375,0.2412109375,0.1884765625,0.2548828125,0.173828125,0.2412109375,0.2353515625,0.2509765625,0.1669921875,0.2509765625,0.197265625,0.2333984375,0.2294921875,0.2158203125,0.2763671875,0.1923828125,0.2666015625,0.2353515625,0.2626953125,0.2646484375,0.232421875,0.1552734375,0.2724609375,0.2392578125,0.2373046875,0.2099609375,0.267578125,0.2255859375
14,model_13,0.21853693181818182,0.19921875,0.2080078125,0.1787109375,0.2021484375,0.216796875,0.13671875,0.146484375,0.1845703125,0.236328125,0.255859375,0.197265625,0.1162109375,0.1884765625,0.234375,0.2294921875,0.1767578125,0.1943359375,0.1787109375,0.18359375,0.3056640625,0.2548828125,0.162109375,0.1669921875,0.1552734375,0.220703125,0.2607421875,0.23046875,0.2265625,0.25,0.1767578125,0.255859375,0.173828125,0.25,0.2490234375,0.26171875,0.158203125,0.2509765625,0.232421875,0.1884765625,0.234375,0.2216796875,0.2783203125,0.2490234375,0.2724609375,0.240234375,0.265625,0.2607421875,0.2548828125,0.212890625,0.29296875,0.2412109375,0.24609375,0.193359375,0.2568359375,0.2041015625
