,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.2916218181818182,0.291,0.291,0.379,0.2851,0.2002,0.2967,0.2908,0.2972,0.2604,0.2878,0.2938,0.292,0.2507,0.266,0.2334,0.2796,0.2532,0.2823,0.2906,0.2859,0.3209,0.323,0.2673,0.2947,0.364,0.2972,0.2905,0.2903,0.3093,0.2691,0.2568,0.3176,0.2869,0.287,0.2522,0.2859,0.2596,0.2995,0.2926,0.2953,0.2854,0.3045,0.293,0.3265,0.3457,0.3014,0.2857,0.3672,0.31,0.2844,0.2924,0.2884,0.3034,0.2889,0.2959
1,model_0,0.20646306818181817,0.1611328125,0.2177734375,0.2333984375,0.23828125,0.1015625,0.1875,0.20703125,0.2958984375,0.1591796875,0.2734375,0.205078125,0.216796875,0.220703125,0.130859375,0.2109375,0.2490234375,0.1953125,0.1611328125,0.16015625,0.197265625,0.2265625,0.1923828125,0.1904296875,0.1259765625,0.1845703125,0.1748046875,0.197265625,0.189453125,0.2265625,0.166015625,0.19921875,0.2255859375,0.2490234375,0.1982421875,0.1259765625,0.263671875,0.1513671875,0.2529296875,0.2353515625,0.27734375,0.2744140625,0.275390625,0.21484375,0.107421875,0.18359375,0.0830078125,0.23046875,0.212890625,0.181640625,0.25390625,0.2509765625,0.228515625,0.2578125,0.2802734375,0.2451171875
2,model_1,0.1584872159090909,0.162109375,0.171875,0.091796875,0.1943359375,0.1015625,0.1025390625,0.173828125,0.2138671875,0.1220703125,0.19140625,0.1962890625,0.0986328125,0.1123046875,0.0859375,0.1259765625,0.1044921875,0.212890625,0.193359375,0.1064453125,0.1015625,0.07421875,0.0927734375,0.1494140625,0.216796875,0.1318359375,0.1708984375,0.189453125,0.2021484375,0.173828125,0.1162109375,0.1748046875,0.1845703125,0.095703125,0.1748046875,0.2197265625,0.1650390625,0.146484375,0.1435546875,0.1552734375,0.2021484375,0.193359375,0.189453125,0.201171875,0.1953125,0.0927734375,0.103515625,0.236328125,0.1728515625,0.1435546875,0.2421875,0.0986328125,0.0771484375,0.1796875,0.2734375,0.2744140625
3,model_2,0.1718927556818182,0.1826171875,0.1982421875,0.177734375,0.1005859375,0.0888671875,0.1630859375,0.1025390625,0.298828125,0.095703125,0.1220703125,0.1123046875,0.193359375,0.1572265625,0.1005859375,0.1865234375,0.158203125,0.1884765625,0.140625,0.123046875,0.1171875,0.0888671875,0.09375,0.177734375,0.2451171875,0.2099609375,0.1826171875,0.181640625,0.1884765625,0.115234375,0.1806640625,0.216796875,0.103515625,0.1884765625,0.1826171875,0.1953125,0.2529296875,0.1484375,0.181640625,0.1181640625,0.26171875,0.197265625,0.2607421875,0.2158203125,0.1826171875,0.123046875,0.1123046875,0.2373046875,0.1982421875,0.1064453125,0.2294921875,0.1884765625,0.1181640625,0.25,0.232421875,0.2802734375
4,model_3,0.190234375,0.1806640625,0.23828125,0.228515625,0.25,0.0888671875,0.16015625,0.228515625,0.2783203125,0.1064453125,0.2529296875,0.193359375,0.1884765625,0.1826171875,0.087890625,0.19140625,0.0859375,0.193359375,0.2548828125,0.203125,0.1865234375,0.0869140625,0.09375,0.189453125,0.1328125,0.2236328125,0.169921875,0.181640625,0.2421875,0.1787109375,0.1669921875,0.216796875,0.193359375,0.08984375,0.115234375,0.23046875,0.255859375,0.158203125,0.1953125,0.185546875,0.265625,0.1962890625,0.1953125,0.22265625,0.212890625,0.1923828125,0.087890625,0.2451171875,0.255859375,0.1162109375,0.189453125,0.1875,0.236328125,0.2001953125,0.2880859375,0.2841796875
5,model_4,0.19946732954545454,0.23046875,0.17578125,0.1748046875,0.1923828125,0.1044921875,0.1025390625,0.2236328125,0.2109375,0.1552734375,0.25390625,0.2021484375,0.19140625,0.234375,0.1494140625,0.17578125,0.17578125,0.2080078125,0.1865234375,0.2197265625,0.10546875,0.216796875,0.126953125,0.185546875,0.22265625,0.2451171875,0.2060546875,0.181640625,0.26953125,0.173828125,0.1748046875,0.2236328125,0.2177734375,0.08984375,0.2421875,0.2314453125,0.240234375,0.177734375,0.2392578125,0.2060546875,0.2451171875,0.197265625,0.265625,0.158203125,0.1611328125,0.2041015625,0.12109375,0.2431640625,0.265625,0.177734375,0.2470703125,0.2607421875,0.201171875,0.1806640625,0.2802734375,0.2177734375
6,model_5,0.20099431818181818,0.18359375,0.2353515625,0.2265625,0.1708984375,0.1474609375,0.1796875,0.2548828125,0.2705078125,0.1611328125,0.1806640625,0.1494140625,0.1357421875,0.1962890625,0.087890625,0.16796875,0.154296875,0.1953125,0.2421875,0.2548828125,0.1015625,0.2099609375,0.11328125,0.2001953125,0.2333984375,0.240234375,0.18359375,0.1826171875,0.19921875,0.2646484375,0.1953125,0.2197265625,0.177734375,0.21484375,0.181640625,0.193359375,0.2626953125,0.16015625,0.2060546875,0.1943359375,0.20703125,0.2646484375,0.25390625,0.2314453125,0.1826171875,0.1953125,0.0869140625,0.2607421875,0.16796875,0.1435546875,0.2490234375,0.2138671875,0.240234375,0.2548828125,0.2919921875,0.28125
7,model_6,0.20403053977272728,0.2294921875,0.140625,0.2412109375,0.181640625,0.1015625,0.1025390625,0.26171875,0.2431640625,0.1162109375,0.251953125,0.1875,0.1826171875,0.18359375,0.087890625,0.1953125,0.224609375,0.2216796875,0.251953125,0.2392578125,0.1875,0.185546875,0.1767578125,0.1953125,0.220703125,0.162109375,0.18359375,0.181640625,0.1982421875,0.2421875,0.2021484375,0.1865234375,0.193359375,0.193359375,0.1650390625,0.236328125,0.2724609375,0.1669921875,0.240234375,0.1513671875,0.2587890625,0.2705078125,0.259765625,0.169921875,0.1982421875,0.2373046875,0.1162109375,0.265625,0.1796875,0.1962890625,0.236328125,0.2451171875,0.1796875,0.259765625,0.2861328125,0.2763671875
8,model_7,0.20715553977272727,0.216796875,0.2265625,0.2548828125,0.234375,0.0888671875,0.255859375,0.234375,0.255859375,0.1123046875,0.1728515625,0.1728515625,0.1953125,0.1962890625,0.087890625,0.19921875,0.2255859375,0.2021484375,0.2509765625,0.265625,0.228515625,0.162109375,0.1064453125,0.18359375,0.2138671875,0.1982421875,0.1787109375,0.240234375,0.263671875,0.1728515625,0.1708984375,0.2138671875,0.193359375,0.1982421875,0.2294921875,0.232421875,0.275390625,0.1494140625,0.1796875,0.1982421875,0.2001953125,0.2705078125,0.2724609375,0.2314453125,0.203125,0.1787109375,0.171875,0.1591796875,0.1953125,0.1826171875,0.216796875,0.2490234375,0.2744140625,0.1953125,0.2880859375,0.2666015625
9,model_8,0.20916193181818182,0.205078125,0.2275390625,0.1669921875,0.19921875,0.1015625,0.171875,0.26953125,0.2138671875,0.1328125,0.2001953125,0.17578125,0.2568359375,0.1982421875,0.150390625,0.1826171875,0.236328125,0.197265625,0.2646484375,0.2529296875,0.240234375,0.22265625,0.1044921875,0.1923828125,0.248046875,0.1904296875,0.18359375,0.21484375,0.25390625,0.1953125,0.173828125,0.2099609375,0.193359375,0.21484375,0.2626953125,0.2421875,0.2734375,0.158203125,0.23828125,0.181640625,0.20703125,0.275390625,0.2802734375,0.2197265625,0.1923828125,0.1904296875,0.0869140625,0.26171875,0.2294921875,0.17578125,0.248046875,0.19140625,0.2080078125,0.220703125,0.2890625,0.2294921875
10,model_9,0.2102627840909091,0.19921875,0.2373046875,0.244140625,0.244140625,0.1015625,0.1552734375,0.2568359375,0.2216796875,0.1533203125,0.1826171875,0.1728515625,0.1953125,0.16796875,0.1826171875,0.1787109375,0.2294921875,0.212890625,0.22265625,0.25390625,0.162109375,0.1767578125,0.134765625,0.2158203125,0.2421875,0.2138671875,0.181640625,0.205078125,0.25390625,0.2685546875,0.1923828125,0.1796875,0.189453125,0.2705078125,0.244140625,0.228515625,0.2705078125,0.1767578125,0.1796875,0.1767578125,0.201171875,0.1982421875,0.265625,0.234375,0.1923828125,0.2158203125,0.0947265625,0.2509765625,0.21875,0.21484375,0.2509765625,0.25390625,0.2724609375,0.234375,0.2802734375,0.2099609375
