,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.795790909090909,0.8393,0.8406,0.8299,0.8353,0.8069,0.7676,0.7952,0.7928,0.8262,0.8188,0.8046,0.8213,0.8199,0.7692,0.8154,0.8028,0.802,0.8363,0.755,0.7773,0.7772,0.7982,0.8188,0.8003,0.7831,0.7625,0.7976,0.7397,0.8042,0.8037,0.7599,0.8015,0.8189,0.7728,0.7965,0.7774,0.816,0.8223,0.8022,0.7397,0.796,0.7476,0.771,0.7915,0.7623,0.7973,0.8002,0.8146,0.759,0.8116,0.7495,0.8074,0.7835,0.8087,0.8194
1,model_0,0.19776278409090908,0.099609375,0.2197265625,0.1015625,0.21875,0.1357421875,0.1982421875,0.23046875,0.1904296875,0.1884765625,0.1171875,0.2666015625,0.1923828125,0.125,0.2890625,0.2626953125,0.2734375,0.1865234375,0.1083984375,0.212890625,0.2275390625,0.2265625,0.2109375,0.158203125,0.16796875,0.2578125,0.2666015625,0.11328125,0.1279296875,0.138671875,0.2099609375,0.2314453125,0.2548828125,0.224609375,0.2607421875,0.296875,0.146484375,0.265625,0.359375,0.1962890625,0.1806640625,0.2783203125,0.1640625,0.2001953125,0.224609375,0.1083984375,0.2763671875,0.1826171875,0.150390625,0.1259765625,0.1083984375,0.2392578125,0.189453125,0.1025390625,0.1533203125,0.2333984375
2,model_1,0.3083629261363636,0.158203125,0.244140625,0.099609375,0.1904296875,0.125,0.1103515625,0.1044921875,0.1064453125,0.099609375,0.091796875,0.1005859375,0.099609375,0.103515625,0.2177734375,0.1806640625,0.1376953125,0.1728515625,0.162109375,0.44921875,0.0859375,0.3310546875,0.3740234375,0.3837890625,0.3330078125,0.4033203125,0.384765625,0.4580078125,0.171875,0.3271484375,0.39453125,0.28125,0.3173828125,0.3134765625,0.4169921875,0.3603515625,0.3896484375,0.3427734375,0.4453125,0.3564453125,0.4853515625,0.4462890625,0.4599609375,0.5,0.4208984375,0.376953125,0.455078125,0.365234375,0.4638671875,0.49609375,0.4423828125,0.4345703125,0.3779296875,0.5908203125,0.4677734375,0.3515625
3,model_2,0.3775923295454545,0.2412109375,0.279296875,0.158203125,0.1513671875,0.1533203125,0.1103515625,0.146484375,0.1171875,0.099609375,0.0966796875,0.1005859375,0.177734375,0.103515625,0.3134765625,0.1044921875,0.1015625,0.3232421875,0.09765625,0.4658203125,0.4189453125,0.4638671875,0.4658203125,0.4287109375,0.474609375,0.4658203125,0.5732421875,0.53125,0.17578125,0.4951171875,0.4609375,0.408203125,0.4326171875,0.4892578125,0.564453125,0.48828125,0.5419921875,0.4677734375,0.4375,0.4990234375,0.482421875,0.55078125,0.5400390625,0.51953125,0.4404296875,0.478515625,0.541015625,0.5126953125,0.552734375,0.5908203125,0.3544921875,0.47265625,0.4609375,0.5810546875,0.5517578125,0.5126953125
4,model_3,0.4427556818181818,0.3701171875,0.3916015625,0.4013671875,0.1884765625,0.2666015625,0.2578125,0.232421875,0.3955078125,0.296875,0.1767578125,0.162109375,0.2158203125,0.103515625,0.4091796875,0.2744140625,0.4189453125,0.44921875,0.267578125,0.5283203125,0.43359375,0.4345703125,0.5009765625,0.51171875,0.4775390625,0.5595703125,0.537109375,0.5439453125,0.5146484375,0.4716796875,0.5224609375,0.541015625,0.412109375,0.51953125,0.4912109375,0.5107421875,0.541015625,0.578125,0.5107421875,0.474609375,0.5029296875,0.5087890625,0.53515625,0.5693359375,0.52734375,0.4833984375,0.525390625,0.56640625,0.615234375,0.583984375,0.484375,0.4921875,0.40234375,0.63671875,0.5703125,0.4541015625
5,model_4,0.48187144886363636,0.4873046875,0.353515625,0.453125,0.373046875,0.3037109375,0.37890625,0.3955078125,0.4482421875,0.4248046875,0.4052734375,0.43359375,0.21875,0.2392578125,0.4619140625,0.3916015625,0.4931640625,0.4091796875,0.39453125,0.4658203125,0.5263671875,0.443359375,0.490234375,0.4345703125,0.5341796875,0.5380859375,0.529296875,0.4931640625,0.546875,0.490234375,0.5107421875,0.5654296875,0.4794921875,0.4853515625,0.4609375,0.4873046875,0.5302734375,0.498046875,0.509765625,0.5185546875,0.5498046875,0.5390625,0.4931640625,0.5986328125,0.580078125,0.4755859375,0.541015625,0.607421875,0.576171875,0.673828125,0.4990234375,0.5009765625,0.4970703125,0.6181640625,0.6328125,0.5166015625
6,model_5,0.5010298295454545,0.5087890625,0.390625,0.416015625,0.2431640625,0.337890625,0.4189453125,0.361328125,0.5498046875,0.3955078125,0.458984375,0.388671875,0.337890625,0.3291015625,0.484375,0.4033203125,0.4755859375,0.466796875,0.4892578125,0.5126953125,0.5419921875,0.431640625,0.451171875,0.4892578125,0.5498046875,0.5283203125,0.59375,0.548828125,0.5546875,0.5390625,0.5078125,0.4814453125,0.447265625,0.498046875,0.5009765625,0.51171875,0.60546875,0.576171875,0.5087890625,0.533203125,0.51171875,0.599609375,0.51171875,0.5966796875,0.568359375,0.5322265625,0.5830078125,0.6337890625,0.6005859375,0.685546875,0.5615234375,0.5234375,0.521484375,0.6572265625,0.544921875,0.556640625
7,model_6,0.5115234375,0.4580078125,0.365234375,0.4560546875,0.291015625,0.36328125,0.4072265625,0.314453125,0.5,0.48046875,0.50390625,0.447265625,0.421875,0.427734375,0.45703125,0.3984375,0.4970703125,0.458984375,0.4140625,0.5537109375,0.509765625,0.4501953125,0.4765625,0.4912109375,0.541015625,0.583984375,0.5302734375,0.5986328125,0.5703125,0.5478515625,0.5517578125,0.6455078125,0.4453125,0.4677734375,0.560546875,0.53125,0.666015625,0.57421875,0.4892578125,0.51953125,0.5546875,0.5732421875,0.5966796875,0.568359375,0.580078125,0.552734375,0.546875,0.6103515625,0.6123046875,0.6083984375,0.5732421875,0.4990234375,0.5576171875,0.642578125,0.56640625,0.5244140625
8,model_7,0.5328302556818182,0.4306640625,0.3251953125,0.4482421875,0.3857421875,0.3212890625,0.40625,0.4609375,0.46484375,0.427734375,0.5693359375,0.5126953125,0.3935546875,0.51171875,0.3955078125,0.4658203125,0.56640625,0.4873046875,0.423828125,0.5810546875,0.53515625,0.435546875,0.5068359375,0.49609375,0.5751953125,0.6220703125,0.599609375,0.6171875,0.5361328125,0.546875,0.5888671875,0.603515625,0.4736328125,0.572265625,0.5380859375,0.5341796875,0.6025390625,0.62890625,0.568359375,0.5478515625,0.5595703125,0.5888671875,0.6044921875,0.6630859375,0.62109375,0.58203125,0.5654296875,0.6455078125,0.62109375,0.6806640625,0.5947265625,0.5576171875,0.5302734375,0.640625,0.583984375,0.5595703125
9,model_8,0.5477272727272727,0.4267578125,0.4365234375,0.5205078125,0.4794921875,0.4296875,0.3828125,0.4951171875,0.4677734375,0.4501953125,0.525390625,0.5107421875,0.5078125,0.4541015625,0.50390625,0.568359375,0.5322265625,0.447265625,0.5126953125,0.54296875,0.5185546875,0.4931640625,0.470703125,0.505859375,0.5322265625,0.662109375,0.5966796875,0.6396484375,0.580078125,0.5791015625,0.576171875,0.65234375,0.5146484375,0.568359375,0.5771484375,0.5400390625,0.615234375,0.6201171875,0.5654296875,0.529296875,0.5625,0.5869140625,0.5771484375,0.603515625,0.6064453125,0.56640625,0.552734375,0.65234375,0.66015625,0.66796875,0.607421875,0.578125,0.5634765625,0.6455078125,0.58203125,0.5810546875
