,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.4189345454545454,0.3129,0.4926,0.4548,0.291,0.5625,0.4401,0.678,0.3621,0.3877,0.3863,0.6146,0.4206,0.5453,0.5129,0.4669,0.3083,0.4654,0.4511,0.3769,0.3394,0.452,0.3671,0.3982,0.371,0.3731,0.3566,0.4494,0.3521,0.4618,0.3891,0.3371,0.3424,0.4733,0.4117,0.4682,0.4196,0.5792,0.3858,0.4351,0.4279,0.4584,0.4697,0.2813,0.5057,0.4113,0.3616,0.4827,0.4042,0.3013,0.4389,0.3083,0.4267,0.3066,0.3436,0.421
1,model_0,0.13394886363636363,0.1005859375,0.091796875,0.0908203125,0.1123046875,0.095703125,0.125,0.0908203125,0.1201171875,0.189453125,0.125,0.154296875,0.1728515625,0.0908203125,0.0908203125,0.0849609375,0.2490234375,0.15625,0.138671875,0.0966796875,0.083984375,0.0966796875,0.177734375,0.162109375,0.0986328125,0.0888671875,0.1015625,0.2060546875,0.095703125,0.19921875,0.1083984375,0.1025390625,0.1787109375,0.1806640625,0.095703125,0.140625,0.115234375,0.091796875,0.1025390625,0.1328125,0.0927734375,0.2626953125,0.1416015625,0.1064453125,0.095703125,0.296875,0.2373046875,0.1728515625,0.09765625,0.10546875,0.0947265625,0.205078125,0.1982421875,0.1279296875,0.0966796875,0.099609375
2,model_1,0.10491832386363636,0.099609375,0.091796875,0.0966796875,0.09375,0.09765625,0.0986328125,0.1005859375,0.099609375,0.0849609375,0.0888671875,0.0986328125,0.09765625,0.115234375,0.10546875,0.1005859375,0.1064453125,0.1044921875,0.095703125,0.0966796875,0.1015625,0.087890625,0.0810546875,0.0947265625,0.0986328125,0.11328125,0.1015625,0.111328125,0.095703125,0.1083984375,0.1103515625,0.1650390625,0.1015625,0.1005859375,0.095703125,0.1083984375,0.115234375,0.091796875,0.18359375,0.177734375,0.1611328125,0.0908203125,0.109375,0.1015625,0.095703125,0.1025390625,0.0810546875,0.115234375,0.103515625,0.0859375,0.11328125,0.1005859375,0.0849609375,0.087890625,0.1171875,0.1025390625
3,model_2,0.1186434659090909,0.1005859375,0.091796875,0.0986328125,0.123046875,0.1044921875,0.0986328125,0.087890625,0.1123046875,0.0927734375,0.1572265625,0.0986328125,0.09765625,0.0908203125,0.0908203125,0.1005859375,0.1064453125,0.1044921875,0.095703125,0.1484375,0.1279296875,0.087890625,0.0947265625,0.08984375,0.0986328125,0.11328125,0.1015625,0.0947265625,0.0947265625,0.1884765625,0.1005859375,0.1025390625,0.1015625,0.18359375,0.1083984375,0.091796875,0.2138671875,0.1103515625,0.1640625,0.0986328125,0.095703125,0.1904296875,0.130859375,0.10546875,0.099609375,0.1025390625,0.0810546875,0.2001953125,0.181640625,0.0859375,0.20703125,0.1806640625,0.16015625,0.0888671875,0.1064453125,0.140625
4,model_3,0.13941761363636362,0.15625,0.197265625,0.0986328125,0.123046875,0.1044921875,0.1630859375,0.087890625,0.1123046875,0.1767578125,0.1923828125,0.1201171875,0.1005859375,0.0908203125,0.1044921875,0.18359375,0.1611328125,0.1044921875,0.16796875,0.1220703125,0.142578125,0.087890625,0.0947265625,0.0947265625,0.1083984375,0.1943359375,0.1015625,0.0966796875,0.103515625,0.1181640625,0.1005859375,0.1025390625,0.1171875,0.1767578125,0.1044921875,0.1982421875,0.2099609375,0.0947265625,0.193359375,0.140625,0.1630859375,0.2060546875,0.2021484375,0.107421875,0.095703125,0.21484375,0.0810546875,0.1650390625,0.17578125,0.1728515625,0.1982421875,0.0986328125,0.12109375,0.171875,0.193359375,0.15234375
5,model_4,0.14644886363636364,0.1650390625,0.091796875,0.1201171875,0.1865234375,0.1044921875,0.0927734375,0.1083984375,0.099609375,0.14453125,0.2001953125,0.1064453125,0.171875,0.1708984375,0.1630859375,0.1015625,0.150390625,0.1044921875,0.091796875,0.1416015625,0.126953125,0.087890625,0.095703125,0.18359375,0.1083984375,0.1826171875,0.193359375,0.162109375,0.1982421875,0.0986328125,0.1083984375,0.1728515625,0.134765625,0.1630859375,0.12109375,0.1728515625,0.2158203125,0.09765625,0.1806640625,0.158203125,0.107421875,0.201171875,0.1962890625,0.10546875,0.1484375,0.2197265625,0.1083984375,0.16015625,0.13671875,0.1865234375,0.1923828125,0.2490234375,0.1025390625,0.169921875,0.1484375,0.1435546875
6,model_5,0.154296875,0.1357421875,0.091796875,0.177734375,0.169921875,0.1044921875,0.0927734375,0.087890625,0.21875,0.1513671875,0.2099609375,0.1064453125,0.095703125,0.1533203125,0.1474609375,0.1005859375,0.150390625,0.1044921875,0.091796875,0.1357421875,0.1083984375,0.0966796875,0.111328125,0.1796875,0.18359375,0.1943359375,0.1142578125,0.2099609375,0.16796875,0.171875,0.0986328125,0.08984375,0.193359375,0.095703125,0.1748046875,0.1640625,0.2119140625,0.111328125,0.19921875,0.2021484375,0.1513671875,0.28125,0.1943359375,0.1787109375,0.162109375,0.2080078125,0.15234375,0.1796875,0.185546875,0.1826171875,0.1806640625,0.1416015625,0.0849609375,0.173828125,0.244140625,0.1796875
7,model_6,0.15637428977272727,0.1669921875,0.091796875,0.0966796875,0.123046875,0.146484375,0.0927734375,0.1025390625,0.099609375,0.1689453125,0.197265625,0.0986328125,0.095703125,0.17578125,0.1611328125,0.18359375,0.15234375,0.1044921875,0.15625,0.1982421875,0.0927734375,0.0966796875,0.099609375,0.1083984375,0.1318359375,0.2021484375,0.197265625,0.2158203125,0.1787109375,0.1142578125,0.16015625,0.08984375,0.197265625,0.1513671875,0.115234375,0.1845703125,0.2158203125,0.1513671875,0.193359375,0.1826171875,0.201171875,0.2177734375,0.19140625,0.1083984375,0.16015625,0.21484375,0.1484375,0.1806640625,0.1865234375,0.189453125,0.1923828125,0.21484375,0.17578125,0.17578125,0.203125,0.1484375
8,model_7,0.16775568181818182,0.15234375,0.091796875,0.0966796875,0.123046875,0.09765625,0.0927734375,0.087890625,0.1640625,0.1904296875,0.2197265625,0.0986328125,0.0986328125,0.1728515625,0.146484375,0.107421875,0.2373046875,0.19140625,0.14453125,0.1689453125,0.1591796875,0.0966796875,0.2021484375,0.1748046875,0.1396484375,0.0888671875,0.1474609375,0.21484375,0.19921875,0.1845703125,0.130859375,0.08984375,0.1982421875,0.248046875,0.234375,0.1689453125,0.21875,0.1806640625,0.201171875,0.21484375,0.2041015625,0.271484375,0.2080078125,0.1259765625,0.18359375,0.21875,0.16015625,0.17578125,0.1767578125,0.193359375,0.197265625,0.2646484375,0.1748046875,0.1845703125,0.1640625,0.1474609375
9,model_8,0.17686434659090908,0.2080078125,0.1845703125,0.0966796875,0.123046875,0.1943359375,0.0927734375,0.173828125,0.2626953125,0.25390625,0.20703125,0.0986328125,0.099609375,0.177734375,0.158203125,0.1015625,0.1650390625,0.1845703125,0.1865234375,0.16796875,0.1845703125,0.08984375,0.2041015625,0.169921875,0.1630859375,0.2001953125,0.1201171875,0.2177734375,0.1982421875,0.10546875,0.1083984375,0.14453125,0.1982421875,0.2509765625,0.2451171875,0.212890625,0.2197265625,0.095703125,0.201171875,0.2158203125,0.19921875,0.28125,0.1728515625,0.1083984375,0.1767578125,0.2197265625,0.1630859375,0.1630859375,0.1845703125,0.2294921875,0.197265625,0.2587890625,0.17578125,0.1826171875,0.171875,0.16015625
10,model_9,0.1845880681818182,0.1923828125,0.1572265625,0.0966796875,0.18359375,0.1298828125,0.1591796875,0.162109375,0.203125,0.193359375,0.1298828125,0.16796875,0.1201171875,0.2275390625,0.1669921875,0.1083984375,0.23046875,0.185546875,0.2041015625,0.1650390625,0.17578125,0.087890625,0.19921875,0.119140625,0.1572265625,0.2001953125,0.2021484375,0.2216796875,0.1982421875,0.103515625,0.1083984375,0.19140625,0.189453125,0.17578125,0.251953125,0.2001953125,0.2099609375,0.23046875,0.216796875,0.25,0.1904296875,0.2314453125,0.2119140625,0.1591796875,0.185546875,0.2197265625,0.1669921875,0.1630859375,0.1826171875,0.2138671875,0.2265625,0.265625,0.2138671875,0.18359375,0.2412109375,0.2236328125
11,model_10,0.18206676136363636,0.18359375,0.203125,0.1015625,0.177734375,0.1064453125,0.095703125,0.103515625,0.2041015625,0.251953125,0.111328125,0.1943359375,0.19921875,0.1845703125,0.15234375,0.1474609375,0.1728515625,0.228515625,0.1962890625,0.1767578125,0.1650390625,0.0966796875,0.197265625,0.1826171875,0.1083984375,0.189453125,0.1845703125,0.2333984375,0.19921875,0.1376953125,0.1396484375,0.095703125,0.1865234375,0.203125,0.25390625,0.1953125,0.2138671875,0.1865234375,0.2021484375,0.23046875,0.19921875,0.2470703125,0.1923828125,0.173828125,0.1064453125,0.2197265625,0.1630859375,0.1953125,0.1884765625,0.2646484375,0.21484375,0.2861328125,0.173828125,0.1845703125,0.1806640625,0.23046875
12,model_11,0.19525923295454545,0.1552734375,0.2021484375,0.09765625,0.1845703125,0.09765625,0.189453125,0.1064453125,0.201171875,0.25390625,0.205078125,0.23828125,0.095703125,0.2255859375,0.107421875,0.158203125,0.150390625,0.2666015625,0.2255859375,0.1796875,0.1455078125,0.1513671875,0.1767578125,0.162109375,0.2607421875,0.19140625,0.2060546875,0.263671875,0.19921875,0.14453125,0.1767578125,0.150390625,0.1953125,0.17578125,0.236328125,0.1982421875,0.2607421875,0.205078125,0.22265625,0.244140625,0.2080078125,0.26171875,0.2109375,0.146484375,0.1826171875,0.2197265625,0.236328125,0.1904296875,0.1875,0.2666015625,0.2685546875,0.255859375,0.203125,0.1845703125,0.173828125,0.2353515625
