,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.47072363636363623,0.4607,0.4679,0.4701,0.5088,0.493,0.5546,0.5094,0.4275,0.3363,0.4715,0.4958,0.4093,0.5411,0.4808,0.5034,0.3987,0.3187,0.5418,0.3875,0.3934,0.5912,0.4133,0.5236,0.5381,0.4038,0.534,0.5136,0.5555,0.4081,0.5001,0.4176,0.4832,0.4403,0.3687,0.3924,0.4191,0.3584,0.4961,0.5277,0.4857,0.6375,0.4644,0.4341,0.6109,0.4433,0.4161,0.3492,0.5151,0.5445,0.4091,0.5937,0.3376,0.5337,0.5448,0.515
1,model_0,0.2030362215909091,0.24609375,0.1728515625,0.259765625,0.19921875,0.1884765625,0.2294921875,0.2421875,0.279296875,0.123046875,0.275390625,0.2431640625,0.2607421875,0.1796875,0.27734375,0.1572265625,0.2529296875,0.1044921875,0.181640625,0.1875,0.2197265625,0.119140625,0.1640625,0.189453125,0.2607421875,0.1796875,0.2236328125,0.1962890625,0.1884765625,0.140625,0.1015625,0.2001953125,0.1845703125,0.1357421875,0.169921875,0.2275390625,0.1669921875,0.2607421875,0.2255859375,0.2578125,0.1826171875,0.21875,0.1875,0.1953125,0.1025390625,0.2451171875,0.1923828125,0.2578125,0.232421875,0.216796875,0.2841796875,0.1796875,0.1201171875,0.2265625,0.275390625,0.1767578125
2,model_1,0.1591619318181818,0.154296875,0.0927734375,0.1376953125,0.185546875,0.0888671875,0.0712890625,0.2568359375,0.1923828125,0.08203125,0.2333984375,0.220703125,0.1005859375,0.0869140625,0.1064453125,0.1201171875,0.1845703125,0.1865234375,0.109375,0.16015625,0.2412109375,0.15234375,0.158203125,0.24609375,0.1181640625,0.197265625,0.09375,0.19140625,0.0908203125,0.2236328125,0.1005859375,0.2431640625,0.1171875,0.1337890625,0.185546875,0.1669921875,0.2734375,0.0966796875,0.0791015625,0.1572265625,0.1005859375,0.1025390625,0.1669921875,0.2666015625,0.181640625,0.2705078125,0.1845703125,0.1826171875,0.18359375,0.1064453125,0.2119140625,0.115234375,0.2041015625,0.1005859375,0.1083984375,0.23046875
3,model_2,0.16578480113636362,0.1748046875,0.09375,0.1533203125,0.1845703125,0.0888671875,0.0712890625,0.2490234375,0.189453125,0.083984375,0.1806640625,0.0830078125,0.1923828125,0.1015625,0.1474609375,0.2109375,0.166015625,0.1884765625,0.15234375,0.1572265625,0.2236328125,0.1787109375,0.154296875,0.1962890625,0.142578125,0.1171875,0.1181640625,0.1787109375,0.15625,0.18359375,0.1005859375,0.1865234375,0.2197265625,0.208984375,0.1787109375,0.2373046875,0.2802734375,0.0966796875,0.0986328125,0.15625,0.1005859375,0.1376953125,0.1943359375,0.193359375,0.1689453125,0.1357421875,0.181640625,0.173828125,0.244140625,0.23046875,0.3037109375,0.08984375,0.169921875,0.1767578125,0.1083984375,0.2265625
4,model_3,0.19174360795454545,0.24609375,0.0986328125,0.1064453125,0.1796875,0.150390625,0.2021484375,0.1767578125,0.2236328125,0.08203125,0.169921875,0.09375,0.2021484375,0.1845703125,0.2763671875,0.2294921875,0.212890625,0.24609375,0.1865234375,0.162109375,0.224609375,0.203125,0.1640625,0.201171875,0.0888671875,0.2119140625,0.1142578125,0.185546875,0.119140625,0.2216796875,0.09375,0.2099609375,0.091796875,0.1640625,0.2734375,0.1875,0.2763671875,0.265625,0.19921875,0.17578125,0.1513671875,0.2294921875,0.177734375,0.1689453125,0.3564453125,0.265625,0.2392578125,0.26953125,0.2822265625,0.173828125,0.216796875,0.171875,0.1796875,0.1748046875,0.26953125,0.1171875
5,model_4,0.19969815340909092,0.26171875,0.1767578125,0.1064453125,0.181640625,0.1669921875,0.12109375,0.1787109375,0.177734375,0.1005859375,0.11328125,0.234375,0.205078125,0.18359375,0.2919921875,0.1845703125,0.1796875,0.2333984375,0.2099609375,0.1708984375,0.1845703125,0.216796875,0.1640625,0.2099609375,0.095703125,0.240234375,0.1142578125,0.1884765625,0.1640625,0.189453125,0.1572265625,0.259765625,0.1806640625,0.21875,0.2685546875,0.1904296875,0.2744140625,0.28515625,0.197265625,0.2783203125,0.1796875,0.306640625,0.1787109375,0.1904296875,0.23046875,0.1767578125,0.23046875,0.2734375,0.2734375,0.244140625,0.2177734375,0.17578125,0.0849609375,0.2021484375,0.375,0.0869140625
6,model_5,0.18893821022727272,0.1875,0.21875,0.1064453125,0.1787109375,0.0888671875,0.0712890625,0.16015625,0.1904296875,0.0888671875,0.2080078125,0.2392578125,0.2001953125,0.166015625,0.2890625,0.1611328125,0.201171875,0.103515625,0.1865234375,0.1875,0.1943359375,0.2080078125,0.1689453125,0.234375,0.1064453125,0.1103515625,0.115234375,0.2294921875,0.1318359375,0.1982421875,0.1005859375,0.203125,0.2021484375,0.212890625,0.125,0.2333984375,0.2802734375,0.283203125,0.1962890625,0.2880859375,0.166015625,0.2705078125,0.169921875,0.18359375,0.255859375,0.1357421875,0.181640625,0.271484375,0.2431640625,0.1787109375,0.2138671875,0.17578125,0.1796875,0.2861328125,0.2021484375,0.2216796875
7,model_6,0.18401988636363636,0.171875,0.1083984375,0.1123046875,0.1845703125,0.0888671875,0.1611328125,0.1552734375,0.212890625,0.1015625,0.13671875,0.2392578125,0.10546875,0.1591796875,0.2763671875,0.166015625,0.2021484375,0.103515625,0.1044921875,0.1435546875,0.15234375,0.205078125,0.1474609375,0.2109375,0.12890625,0.2470703125,0.1435546875,0.193359375,0.16796875,0.1787109375,0.1005859375,0.2587890625,0.1591796875,0.205078125,0.1865234375,0.259765625,0.2822265625,0.2001953125,0.2021484375,0.2060546875,0.162109375,0.1435546875,0.287109375,0.2177734375,0.328125,0.111328125,0.181640625,0.2705078125,0.2666015625,0.1533203125,0.21484375,0.201171875,0.08984375,0.26953125,0.236328125,0.2177734375
8,model_7,0.19889914772727274,0.171875,0.1064453125,0.1123046875,0.1904296875,0.0888671875,0.0751953125,0.197265625,0.1943359375,0.0888671875,0.11328125,0.2412109375,0.1044921875,0.0869140625,0.1103515625,0.1123046875,0.203125,0.240234375,0.1044921875,0.2529296875,0.1455078125,0.220703125,0.1728515625,0.1953125,0.1416015625,0.12109375,0.267578125,0.1962890625,0.2470703125,0.29296875,0.2001953125,0.23828125,0.2001953125,0.1669921875,0.1396484375,0.279296875,0.2734375,0.279296875,0.255859375,0.2890625,0.171875,0.1904296875,0.271484375,0.1865234375,0.3369140625,0.2138671875,0.2734375,0.2763671875,0.3427734375,0.2451171875,0.21484375,0.1826171875,0.0927734375,0.2470703125,0.2890625,0.2861328125
9,model_8,0.20946377840909092,0.2666015625,0.2333984375,0.1455078125,0.17578125,0.0888671875,0.0947265625,0.1728515625,0.2763671875,0.0888671875,0.19140625,0.16015625,0.177734375,0.0869140625,0.2490234375,0.185546875,0.2607421875,0.234375,0.1044921875,0.2490234375,0.0859375,0.2236328125,0.1533203125,0.1943359375,0.1533203125,0.0947265625,0.2666015625,0.1943359375,0.1689453125,0.2841796875,0.2685546875,0.2724609375,0.2841796875,0.1650390625,0.1845703125,0.2587890625,0.275390625,0.2802734375,0.20703125,0.2861328125,0.1689453125,0.3076171875,0.1787109375,0.1875,0.3486328125,0.2578125,0.23046875,0.275390625,0.314453125,0.244140625,0.3115234375,0.20703125,0.1201171875,0.2138671875,0.212890625,0.197265625
