,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.30757090909090906,0.3803,0.4192,0.3454,0.4009,0.1962,0.3727,0.3994,0.2636,0.289,0.3722,0.3226,0.3988,0.2589,0.2807,0.3083,0.2418,0.3875,0.3832,0.238,0.3669,0.3065,0.3252,0.3341,0.3454,0.2844,0.2082,0.3262,0.2692,0.3485,0.1257,0.3488,0.3081,0.2037,0.3138,0.3435,0.1717,0.23,0.3097,0.4422,0.3486,0.3535,0.1941,0.3031,0.3697,0.3417,0.3578,0.1552,0.2773,0.2874,0.3682,0.1847,0.268,0.3757,0.2711,0.2898
1,model_0,0.16889204545454545,0.1328125,0.080078125,0.1748046875,0.201171875,0.1884765625,0.09765625,0.154296875,0.173828125,0.1923828125,0.1845703125,0.158203125,0.12890625,0.1279296875,0.2216796875,0.13671875,0.173828125,0.1845703125,0.1171875,0.2119140625,0.1923828125,0.1923828125,0.1591796875,0.1796875,0.16796875,0.1533203125,0.111328125,0.1708984375,0.1611328125,0.189453125,0.1943359375,0.2138671875,0.2001953125,0.1318359375,0.208984375,0.24609375,0.1640625,0.1953125,0.1611328125,0.2099609375,0.1748046875,0.134765625,0.1494140625,0.1796875,0.1474609375,0.1357421875,0.142578125,0.1357421875,0.1484375,0.1982421875,0.16796875,0.1611328125,0.212890625,0.18359375,0.2041015625,0.16796875
2,model_1,0.1555752840909091,0.0634765625,0.076171875,0.1591796875,0.0712890625,0.138671875,0.130859375,0.0908203125,0.2041015625,0.1005859375,0.1826171875,0.1171875,0.0986328125,0.087890625,0.240234375,0.19140625,0.2421875,0.1435546875,0.083984375,0.24609375,0.1708984375,0.234375,0.1962890625,0.0791015625,0.078125,0.130859375,0.2099609375,0.1591796875,0.16015625,0.240234375,0.1416015625,0.138671875,0.2373046875,0.095703125,0.20703125,0.158203125,0.078125,0.1669921875,0.1435546875,0.2265625,0.1748046875,0.1904296875,0.2451171875,0.087890625,0.2236328125,0.2099609375,0.087890625,0.1279296875,0.0693359375,0.208984375,0.119140625,0.1376953125,0.0908203125,0.21484375,0.220703125,0.2255859375
3,model_2,0.15660511363636365,0.0634765625,0.076171875,0.158203125,0.0712890625,0.1416015625,0.115234375,0.0830078125,0.1494140625,0.126953125,0.1806640625,0.1591796875,0.1845703125,0.126953125,0.2001953125,0.1962890625,0.2451171875,0.19140625,0.1142578125,0.2421875,0.193359375,0.228515625,0.1630859375,0.0791015625,0.0830078125,0.083984375,0.1689453125,0.1884765625,0.1611328125,0.2392578125,0.1396484375,0.140625,0.2412109375,0.1083984375,0.1201171875,0.0791015625,0.078125,0.142578125,0.1513671875,0.1240234375,0.17578125,0.20703125,0.12890625,0.1484375,0.1689453125,0.1728515625,0.2060546875,0.2255859375,0.083984375,0.203125,0.24609375,0.15234375,0.23046875,0.2080078125,0.1591796875,0.15625
4,model_3,0.14609375,0.080078125,0.076171875,0.158203125,0.0712890625,0.2392578125,0.0849609375,0.0830078125,0.1474609375,0.158203125,0.1923828125,0.185546875,0.1455078125,0.08203125,0.25,0.1201171875,0.2392578125,0.1435546875,0.083984375,0.1484375,0.166015625,0.23828125,0.1142578125,0.0791015625,0.1337890625,0.150390625,0.15625,0.1953125,0.166015625,0.2294921875,0.1376953125,0.125,0.083984375,0.1845703125,0.08203125,0.2421875,0.1689453125,0.2158203125,0.2021484375,0.1455078125,0.1748046875,0.1318359375,0.11328125,0.0888671875,0.1162109375,0.1279296875,0.083984375,0.14453125,0.0849609375,0.197265625,0.1513671875,0.166015625,0.150390625,0.2158203125,0.0830078125,0.0986328125
5,model_4,0.15758167613636365,0.080078125,0.1513671875,0.1591796875,0.1650390625,0.1572265625,0.0849609375,0.12890625,0.16015625,0.1552734375,0.19140625,0.1513671875,0.0791015625,0.0927734375,0.0830078125,0.1318359375,0.244140625,0.142578125,0.1884765625,0.2080078125,0.2021484375,0.23828125,0.15625,0.0791015625,0.080078125,0.083984375,0.16796875,0.169921875,0.1181640625,0.0693359375,0.2041015625,0.140625,0.15625,0.1865234375,0.087890625,0.2431640625,0.2431640625,0.171875,0.1884765625,0.1591796875,0.205078125,0.1728515625,0.11328125,0.1455078125,0.1533203125,0.158203125,0.1767578125,0.236328125,0.1982421875,0.205078125,0.1806640625,0.162109375,0.150390625,0.2080078125,0.0947265625,0.205078125
6,model_5,0.14636008522727273,0.080078125,0.166015625,0.1591796875,0.0712890625,0.1513671875,0.0849609375,0.0830078125,0.1103515625,0.15234375,0.1962890625,0.1259765625,0.091796875,0.20703125,0.1552734375,0.099609375,0.240234375,0.130859375,0.11328125,0.0888671875,0.1591796875,0.2373046875,0.12890625,0.0791015625,0.181640625,0.1337890625,0.1875,0.1640625,0.125,0.1396484375,0.1474609375,0.1279296875,0.162109375,0.0927734375,0.1513671875,0.1025390625,0.1806640625,0.205078125,0.1455078125,0.171875,0.2158203125,0.203125,0.1591796875,0.087890625,0.09765625,0.12890625,0.150390625,0.1171875,0.1162109375,0.208984375,0.1904296875,0.1591796875,0.15625,0.20703125,0.103515625,0.216796875
7,model_6,0.14758522727272727,0.080078125,0.076171875,0.1591796875,0.1083984375,0.158203125,0.15625,0.09375,0.1044921875,0.1826171875,0.193359375,0.099609375,0.0869140625,0.1435546875,0.0830078125,0.1201171875,0.09375,0.087890625,0.1162109375,0.2392578125,0.16796875,0.21875,0.16015625,0.1328125,0.1240234375,0.083984375,0.1484375,0.1904296875,0.1787109375,0.1533203125,0.193359375,0.1396484375,0.162109375,0.08984375,0.0888671875,0.23046875,0.087890625,0.146484375,0.1787109375,0.19140625,0.2333984375,0.2109375,0.091796875,0.1171875,0.15625,0.0927734375,0.2216796875,0.0771484375,0.2353515625,0.208984375,0.28125,0.080078125,0.150390625,0.216796875,0.0830078125,0.2099609375
8,model_7,0.1580078125,0.080078125,0.1484375,0.1591796875,0.0712890625,0.0947265625,0.0849609375,0.0830078125,0.138671875,0.2099609375,0.19140625,0.1533203125,0.07421875,0.0927734375,0.21484375,0.142578125,0.234375,0.19140625,0.16015625,0.14453125,0.1650390625,0.2236328125,0.181640625,0.1728515625,0.134765625,0.1455078125,0.22265625,0.1953125,0.1640625,0.171875,0.154296875,0.1416015625,0.0810546875,0.1162109375,0.12890625,0.244140625,0.138671875,0.1337890625,0.0859375,0.228515625,0.232421875,0.20703125,0.11328125,0.2412109375,0.1533203125,0.1181640625,0.154296875,0.140625,0.1953125,0.205078125,0.1865234375,0.1943359375,0.150390625,0.1552734375,0.0830078125,0.259765625
9,model_8,0.16257102272727272,0.158203125,0.0869140625,0.16015625,0.08984375,0.1591796875,0.150390625,0.1650390625,0.1455078125,0.2099609375,0.1953125,0.1455078125,0.0810546875,0.08203125,0.0830078125,0.0849609375,0.2353515625,0.1650390625,0.083984375,0.0888671875,0.166015625,0.1591796875,0.1650390625,0.173828125,0.078125,0.083984375,0.2099609375,0.1943359375,0.095703125,0.1279296875,0.09375,0.2333984375,0.1640625,0.134765625,0.1494140625,0.1787109375,0.140625,0.181640625,0.162109375,0.2275390625,0.232421875,0.2109375,0.2138671875,0.271484375,0.15625,0.244140625,0.318359375,0.140625,0.201171875,0.205078125,0.189453125,0.1650390625,0.162109375,0.220703125,0.140625,0.1787109375
