,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.44438181818181816,0.3721,0.5575,0.3764,0.5148,0.3768,0.3192,0.5155,0.3624,0.4104,0.3461,0.3655,0.4814,0.3605,0.5243,0.3466,0.5344,0.5382,0.5515,0.3747,0.5454,0.3736,0.5027,0.3749,0.4908,0.5056,0.4072,0.4882,0.5521,0.4657,0.4612,0.4521,0.4842,0.5516,0.3863,0.4938,0.4801,0.5524,0.5037,0.3863,0.3316,0.3595,0.3626,0.4784,0.5164,0.3337,0.474,0.4146,0.5414,0.4616,0.3099,0.517,0.3655,0.4892,0.3818,0.4176
1,model_0,0.13487215909090908,0.0947265625,0.1708984375,0.16015625,0.1181640625,0.1171875,0.125,0.1953125,0.1181640625,0.08984375,0.103515625,0.142578125,0.15234375,0.0986328125,0.0986328125,0.09375,0.09375,0.09765625,0.2548828125,0.0908203125,0.119140625,0.10546875,0.2353515625,0.2021484375,0.2060546875,0.087890625,0.1123046875,0.1240234375,0.1923828125,0.099609375,0.099609375,0.1025390625,0.10546875,0.1064453125,0.0947265625,0.0888671875,0.1845703125,0.095703125,0.1982421875,0.0966796875,0.095703125,0.181640625,0.1630859375,0.1064453125,0.1337890625,0.1494140625,0.08203125,0.0927734375,0.1357421875,0.1123046875,0.263671875,0.1005859375,0.1376953125,0.2685546875,0.103515625,0.2177734375
2,model_1,0.13394886363636363,0.16015625,0.099609375,0.095703125,0.099609375,0.255859375,0.078125,0.25390625,0.0947265625,0.1865234375,0.154296875,0.1494140625,0.1767578125,0.1123046875,0.181640625,0.1611328125,0.0986328125,0.1005859375,0.103515625,0.1318359375,0.115234375,0.1181640625,0.1123046875,0.1005859375,0.1279296875,0.099609375,0.109375,0.166015625,0.1025390625,0.09375,0.099609375,0.095703125,0.1064453125,0.1005859375,0.1640625,0.1630859375,0.1904296875,0.1728515625,0.0966796875,0.0947265625,0.1455078125,0.1748046875,0.2021484375,0.1064453125,0.2509765625,0.0791015625,0.1103515625,0.09375,0.1826171875,0.1416015625,0.150390625,0.1298828125,0.1748046875,0.09375,0.103515625,0.103515625
3,model_2,0.14763849431818182,0.1640625,0.099609375,0.095703125,0.07421875,0.0986328125,0.078125,0.1787109375,0.1181640625,0.185546875,0.09375,0.197265625,0.09375,0.109375,0.193359375,0.24609375,0.1005859375,0.1591796875,0.1640625,0.0908203125,0.1396484375,0.1826171875,0.1123046875,0.0947265625,0.1630859375,0.099609375,0.09765625,0.1650390625,0.1025390625,0.09375,0.1015625,0.095703125,0.1044921875,0.1005859375,0.2177734375,0.1708984375,0.19140625,0.2177734375,0.09765625,0.158203125,0.2451171875,0.181640625,0.2021484375,0.10546875,0.2265625,0.1416015625,0.1044921875,0.255859375,0.1611328125,0.1748046875,0.2333984375,0.2509765625,0.20703125,0.0947265625,0.1845703125,0.1025390625
4,model_3,0.1604580965909091,0.1640625,0.099609375,0.095703125,0.07421875,0.25390625,0.078125,0.18359375,0.1181640625,0.1884765625,0.134765625,0.08984375,0.2333984375,0.0986328125,0.185546875,0.248046875,0.0986328125,0.1689453125,0.1455078125,0.1455078125,0.1005859375,0.171875,0.1123046875,0.1796875,0.224609375,0.1630859375,0.099609375,0.2392578125,0.1025390625,0.16796875,0.1015625,0.0966796875,0.10546875,0.193359375,0.1064453125,0.25390625,0.1923828125,0.271484375,0.1591796875,0.26953125,0.16015625,0.18359375,0.21484375,0.09765625,0.09375,0.12109375,0.169921875,0.1923828125,0.181640625,0.171875,0.3076171875,0.201171875,0.234375,0.1416015625,0.1298828125,0.107421875
5,model_4,0.16157670454545456,0.1806640625,0.099609375,0.095703125,0.07421875,0.263671875,0.078125,0.1025390625,0.1181640625,0.15625,0.162109375,0.1083984375,0.1943359375,0.1904296875,0.185546875,0.248046875,0.0986328125,0.1708984375,0.15234375,0.08984375,0.150390625,0.240234375,0.1123046875,0.1904296875,0.2001953125,0.1015625,0.1298828125,0.1630859375,0.18359375,0.1708984375,0.1640625,0.173828125,0.10546875,0.1748046875,0.134765625,0.1728515625,0.19140625,0.26171875,0.1767578125,0.18359375,0.130859375,0.18359375,0.2529296875,0.1064453125,0.09375,0.111328125,0.1708984375,0.19921875,0.21875,0.1748046875,0.171875,0.2236328125,0.2490234375,0.1875,0.158203125,0.1025390625
6,model_5,0.18542258522727273,0.1875,0.099609375,0.1748046875,0.099609375,0.244140625,0.078125,0.10546875,0.1181640625,0.1884765625,0.1572265625,0.1787109375,0.1455078125,0.177734375,0.1171875,0.2412109375,0.0986328125,0.212890625,0.14453125,0.134765625,0.150390625,0.2744140625,0.150390625,0.1806640625,0.287109375,0.1875,0.09765625,0.16796875,0.1083984375,0.2216796875,0.15625,0.1923828125,0.115234375,0.1943359375,0.17578125,0.2373046875,0.1923828125,0.2568359375,0.310546875,0.1865234375,0.2822265625,0.185546875,0.2578125,0.1044921875,0.3330078125,0.1630859375,0.2216796875,0.220703125,0.267578125,0.173828125,0.181640625,0.189453125,0.296875,0.1884765625,0.1513671875,0.232421875
7,model_6,0.18444602272727273,0.2314453125,0.099609375,0.095703125,0.07421875,0.2607421875,0.078125,0.103515625,0.1181640625,0.173828125,0.1767578125,0.095703125,0.1318359375,0.123046875,0.1474609375,0.2451171875,0.0986328125,0.2236328125,0.115234375,0.1474609375,0.2177734375,0.25390625,0.2548828125,0.1904296875,0.1884765625,0.1865234375,0.10546875,0.173828125,0.1806640625,0.2314453125,0.17578125,0.1923828125,0.2099609375,0.189453125,0.1611328125,0.26171875,0.185546875,0.251953125,0.279296875,0.1826171875,0.1884765625,0.1875,0.26171875,0.111328125,0.345703125,0.1259765625,0.208984375,0.19921875,0.302734375,0.17578125,0.197265625,0.236328125,0.3271484375,0.1953125,0.11328125,0.154296875
8,model_7,0.2100497159090909,0.2373046875,0.189453125,0.193359375,0.140625,0.2587890625,0.078125,0.103515625,0.1328125,0.259765625,0.244140625,0.18359375,0.2607421875,0.1875,0.2021484375,0.265625,0.1064453125,0.2763671875,0.1884765625,0.1279296875,0.2490234375,0.2626953125,0.2529296875,0.2197265625,0.2119140625,0.19140625,0.1689453125,0.2216796875,0.1884765625,0.228515625,0.1728515625,0.1904296875,0.1630859375,0.1953125,0.173828125,0.3212890625,0.1865234375,0.259765625,0.3271484375,0.185546875,0.1845703125,0.185546875,0.259765625,0.1064453125,0.3623046875,0.080078125,0.2392578125,0.19921875,0.3095703125,0.1748046875,0.259765625,0.2314453125,0.3466796875,0.19921875,0.1533203125,0.2529296875
9,model_8,0.21136363636363636,0.24609375,0.140625,0.1943359375,0.1513671875,0.2490234375,0.078125,0.1015625,0.134765625,0.08984375,0.166015625,0.2177734375,0.2158203125,0.18359375,0.23046875,0.2734375,0.2080078125,0.2724609375,0.203125,0.1572265625,0.154296875,0.27734375,0.232421875,0.2177734375,0.2451171875,0.271484375,0.09765625,0.193359375,0.240234375,0.25390625,0.2265625,0.1865234375,0.3310546875,0.2119140625,0.1552734375,0.3115234375,0.2099609375,0.2685546875,0.3662109375,0.185546875,0.166015625,0.2041015625,0.255859375,0.2109375,0.291015625,0.1162109375,0.255859375,0.1923828125,0.302734375,0.1845703125,0.19921875,0.25390625,0.2099609375,0.1953125,0.1494140625,0.287109375
