,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.5703218181818183,0.5166,0.5924,0.5876,0.5965,0.5859,0.6038,0.5678,0.5804,0.6602,0.582,0.6171,0.7269,0.6043,0.4835,0.527,0.4551,0.6347,0.6845,0.4936,0.5814,0.5793,0.5826,0.5373,0.6395,0.5866,0.6066,0.4992,0.5581,0.5323,0.589,0.5585,0.527,0.5572,0.5708,0.5898,0.5639,0.6532,0.5178,0.5622,0.5601,0.5269,0.5276,0.57,0.5536,0.5147,0.5775,0.5262,0.5701,0.6429,0.4785,0.5307,0.5591,0.499,0.6123,0.6263
1,model_0,0.14193892045454545,0.1513671875,0.134765625,0.2333984375,0.0986328125,0.0927734375,0.158203125,0.1044921875,0.138671875,0.1455078125,0.17578125,0.1962890625,0.09375,0.2216796875,0.0966796875,0.1884765625,0.1318359375,0.1064453125,0.0966796875,0.0947265625,0.0908203125,0.1181640625,0.09765625,0.1123046875,0.1171875,0.1044921875,0.2978515625,0.30859375,0.087890625,0.2138671875,0.166015625,0.0986328125,0.2412109375,0.1171875,0.287109375,0.1162109375,0.091796875,0.232421875,0.0888671875,0.19140625,0.1005859375,0.2041015625,0.1484375,0.1064453125,0.091796875,0.1015625,0.087890625,0.1015625,0.0947265625,0.099609375,0.1025390625,0.1181640625,0.083984375,0.189453125,0.22265625,0.11328125
2,model_1,0.12219460227272727,0.103515625,0.0869140625,0.1083984375,0.2138671875,0.09375,0.0986328125,0.1181640625,0.0859375,0.0966796875,0.09765625,0.107421875,0.09375,0.109375,0.0869140625,0.11328125,0.107421875,0.1064453125,0.1064453125,0.0947265625,0.1064453125,0.1220703125,0.09765625,0.1123046875,0.09375,0.1064453125,0.111328125,0.1123046875,0.087890625,0.107421875,0.1806640625,0.0986328125,0.0859375,0.087890625,0.0908203125,0.11328125,0.0869140625,0.1123046875,0.1865234375,0.0810546875,0.103515625,0.1171875,0.1064453125,0.07421875,0.1279296875,0.1689453125,0.1416015625,0.1650390625,0.2119140625,0.2041015625,0.1025390625,0.09375,0.2578125,0.2880859375,0.0986328125,0.248046875
3,model_2,0.1594815340909091,0.1025390625,0.1416015625,0.1083984375,0.2900390625,0.1435546875,0.0986328125,0.1904296875,0.095703125,0.0966796875,0.115234375,0.107421875,0.09375,0.095703125,0.1015625,0.11328125,0.1064453125,0.1083984375,0.1064453125,0.0947265625,0.0908203125,0.09375,0.10546875,0.087890625,0.189453125,0.1064453125,0.1044921875,0.181640625,0.087890625,0.107421875,0.2041015625,0.099609375,0.1884765625,0.087890625,0.1044921875,0.1787109375,0.1884765625,0.0908203125,0.1884765625,0.2138671875,0.1630859375,0.2392578125,0.2412109375,0.2412109375,0.2041015625,0.22265625,0.2314453125,0.33203125,0.228515625,0.318359375,0.1728515625,0.2099609375,0.21484375,0.2666015625,0.1728515625,0.3017578125
4,model_3,0.17599431818181818,0.103515625,0.328125,0.1083984375,0.1953125,0.1552734375,0.0986328125,0.16015625,0.099609375,0.1015625,0.115234375,0.107421875,0.09375,0.095703125,0.1015625,0.1845703125,0.1337890625,0.1064453125,0.1337890625,0.107421875,0.0908203125,0.0966796875,0.16015625,0.11328125,0.09375,0.1064453125,0.1064453125,0.0947265625,0.087890625,0.109375,0.11328125,0.181640625,0.224609375,0.087890625,0.15625,0.19921875,0.2109375,0.17578125,0.2568359375,0.208984375,0.169921875,0.3173828125,0.3046875,0.2724609375,0.2626953125,0.2451171875,0.2578125,0.2294921875,0.2490234375,0.3583984375,0.2529296875,0.26171875,0.2578125,0.27734375,0.2392578125,0.318359375
5,model_4,0.1914950284090909,0.103515625,0.0869140625,0.1083984375,0.16015625,0.0927734375,0.0986328125,0.078125,0.099609375,0.1796875,0.115234375,0.107421875,0.1396484375,0.1103515625,0.1015625,0.1025390625,0.0849609375,0.1064453125,0.169921875,0.107421875,0.0908203125,0.220703125,0.1875,0.2939453125,0.1982421875,0.197265625,0.18359375,0.0791015625,0.1533203125,0.2001953125,0.21875,0.1884765625,0.255859375,0.189453125,0.1865234375,0.208984375,0.2333984375,0.1591796875,0.2392578125,0.287109375,0.142578125,0.2744140625,0.2646484375,0.298828125,0.26953125,0.2529296875,0.21875,0.314453125,0.30078125,0.3369140625,0.24609375,0.302734375,0.26171875,0.3505859375,0.2470703125,0.3251953125
6,model_5,0.2174005681818182,0.103515625,0.1103515625,0.1884765625,0.2890625,0.0927734375,0.0986328125,0.078125,0.19140625,0.1474609375,0.115234375,0.107421875,0.09375,0.171875,0.1015625,0.265625,0.0849609375,0.1064453125,0.251953125,0.19921875,0.0908203125,0.3017578125,0.203125,0.349609375,0.205078125,0.189453125,0.267578125,0.1708984375,0.1494140625,0.2177734375,0.2431640625,0.193359375,0.2314453125,0.1982421875,0.248046875,0.201171875,0.21484375,0.248046875,0.30859375,0.2509765625,0.2392578125,0.267578125,0.318359375,0.259765625,0.2158203125,0.255859375,0.2470703125,0.310546875,0.3330078125,0.3310546875,0.2841796875,0.3486328125,0.3203125,0.3388671875,0.2314453125,0.3740234375
7,model_6,0.24224076704545455,0.1435546875,0.0869140625,0.1943359375,0.251953125,0.1044921875,0.1484375,0.248046875,0.1796875,0.234375,0.1171875,0.2431640625,0.09375,0.1728515625,0.095703125,0.2607421875,0.0888671875,0.1083984375,0.234375,0.208984375,0.2724609375,0.30078125,0.3291015625,0.33203125,0.220703125,0.17578125,0.2197265625,0.2509765625,0.171875,0.22265625,0.2705078125,0.193359375,0.2373046875,0.30078125,0.2744140625,0.2685546875,0.291015625,0.3095703125,0.3037109375,0.28515625,0.298828125,0.2587890625,0.255859375,0.271484375,0.2626953125,0.2744140625,0.3212890625,0.3583984375,0.3447265625,0.365234375,0.28125,0.3486328125,0.353515625,0.2763671875,0.248046875,0.357421875
8,model_7,0.2614879261363636,0.134765625,0.0869140625,0.1083984375,0.30078125,0.1728515625,0.1484375,0.177734375,0.3017578125,0.1982421875,0.2734375,0.212890625,0.248046875,0.1748046875,0.1904296875,0.1767578125,0.099609375,0.2060546875,0.2705078125,0.2099609375,0.2919921875,0.3486328125,0.3125,0.3486328125,0.26171875,0.1953125,0.3232421875,0.2724609375,0.2216796875,0.2646484375,0.28125,0.2060546875,0.3388671875,0.3193359375,0.19921875,0.26953125,0.33203125,0.2861328125,0.3466796875,0.279296875,0.31640625,0.3056640625,0.3115234375,0.197265625,0.2470703125,0.27734375,0.2783203125,0.33984375,0.3515625,0.376953125,0.2724609375,0.3994140625,0.3583984375,0.3203125,0.2470703125,0.390625
9,model_8,0.26672585227272727,0.2421875,0.0927734375,0.1806640625,0.2060546875,0.1162109375,0.2373046875,0.2119140625,0.2177734375,0.1650390625,0.1875,0.2119140625,0.2177734375,0.2607421875,0.2001953125,0.1689453125,0.232421875,0.189453125,0.2451171875,0.2275390625,0.2568359375,0.3310546875,0.3017578125,0.3447265625,0.236328125,0.23046875,0.236328125,0.32421875,0.259765625,0.2705078125,0.2861328125,0.1953125,0.232421875,0.3583984375,0.283203125,0.3046875,0.32421875,0.3203125,0.3369140625,0.3115234375,0.3505859375,0.3134765625,0.3232421875,0.2587890625,0.2666015625,0.24609375,0.3271484375,0.369140625,0.3359375,0.3564453125,0.283203125,0.3984375,0.3095703125,0.27734375,0.326171875,0.37109375
