,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,global,0.41695636363636357,0.4188,0.428,0.3965,0.467,0.4754,0.4703,0.4334,0.4186,0.4801,0.3962,0.456,0.3423,0.4214,0.3987,0.3565,0.4268,0.3879,0.3252,0.4111,0.4014,0.4285,0.4057,0.5636,0.3649,0.5615,0.3706,0.4035,0.3443,0.4602,0.4026,0.3862,0.5441,0.4633,0.4303,0.4614,0.3493,0.3551,0.3194,0.3932,0.4108,0.4695,0.473,0.4123,0.5215,0.4081,0.3635,0.3518,0.4844,0.4025,0.3598,0.4226,0.4329,0.3542,0.3926,0.3538
1,model_0,0.13006036931818182,0.134765625,0.17578125,0.0966796875,0.1865234375,0.2626953125,0.103515625,0.09765625,0.09375,0.1455078125,0.08984375,0.08984375,0.095703125,0.091796875,0.1103515625,0.099609375,0.1015625,0.1142578125,0.0888671875,0.0986328125,0.111328125,0.111328125,0.1845703125,0.0986328125,0.275390625,0.189453125,0.248046875,0.115234375,0.0849609375,0.08984375,0.115234375,0.1298828125,0.087890625,0.099609375,0.1142578125,0.109375,0.0947265625,0.1044921875,0.1826171875,0.1572265625,0.1884765625,0.1953125,0.2119140625,0.1005859375,0.1044921875,0.0888671875,0.103515625,0.0986328125,0.140625,0.087890625,0.09765625,0.130859375,0.107421875,0.154296875,0.203125,0.158203125
2,model_1,0.12137784090909091,0.1005859375,0.14453125,0.1796875,0.1162109375,0.091796875,0.111328125,0.095703125,0.09375,0.142578125,0.08984375,0.1455078125,0.0986328125,0.11328125,0.099609375,0.08984375,0.1005859375,0.111328125,0.08203125,0.0986328125,0.1123046875,0.0986328125,0.1337890625,0.080078125,0.103515625,0.18359375,0.1513671875,0.107421875,0.1005859375,0.099609375,0.1064453125,0.1748046875,0.1025390625,0.1689453125,0.0888671875,0.091796875,0.08984375,0.1767578125,0.1279296875,0.171875,0.103515625,0.099609375,0.099609375,0.1376953125,0.1103515625,0.1044921875,0.103515625,0.1875,0.1904296875,0.123046875,0.2236328125,0.103515625,0.1142578125,0.1962890625,0.095703125,0.1064453125
3,model_2,0.12524857954545454,0.1005859375,0.14453125,0.1796875,0.1162109375,0.091796875,0.111328125,0.095703125,0.0908203125,0.1142578125,0.08984375,0.1455078125,0.0986328125,0.11328125,0.099609375,0.08984375,0.15234375,0.09375,0.08203125,0.0986328125,0.1123046875,0.0908203125,0.1337890625,0.1435546875,0.0986328125,0.18359375,0.1513671875,0.0859375,0.1220703125,0.099609375,0.21484375,0.1748046875,0.17578125,0.0947265625,0.0888671875,0.0947265625,0.08984375,0.203125,0.1279296875,0.1240234375,0.1767578125,0.099609375,0.1806640625,0.1376953125,0.103515625,0.1044921875,0.103515625,0.1103515625,0.1796875,0.1474609375,0.2216796875,0.103515625,0.1142578125,0.1962890625,0.083984375,0.1064453125
4,model_3,0.12611860795454546,0.166015625,0.14453125,0.1796875,0.1162109375,0.091796875,0.2060546875,0.095703125,0.0908203125,0.1142578125,0.08984375,0.09765625,0.0986328125,0.11328125,0.099609375,0.08984375,0.15234375,0.09375,0.091796875,0.095703125,0.1123046875,0.0908203125,0.1826171875,0.1513671875,0.0986328125,0.09765625,0.1513671875,0.107421875,0.083984375,0.099609375,0.11328125,0.1748046875,0.17578125,0.0947265625,0.0888671875,0.166015625,0.1005859375,0.185546875,0.15234375,0.1083984375,0.1767578125,0.099609375,0.1806640625,0.15234375,0.103515625,0.1044921875,0.103515625,0.1103515625,0.1796875,0.1220703125,0.2216796875,0.12109375,0.125,0.181640625,0.083984375,0.1064453125
5,model_4,0.13464133522727273,0.166015625,0.0947265625,0.1796875,0.1162109375,0.091796875,0.2060546875,0.095703125,0.0908203125,0.1083984375,0.1005859375,0.09765625,0.0986328125,0.091796875,0.1845703125,0.0986328125,0.1875,0.162109375,0.091796875,0.095703125,0.0947265625,0.109375,0.17578125,0.1513671875,0.1962890625,0.09765625,0.15625,0.107421875,0.083984375,0.0986328125,0.1142578125,0.1396484375,0.17578125,0.2705078125,0.0888671875,0.1474609375,0.1005859375,0.185546875,0.1689453125,0.109375,0.1767578125,0.099609375,0.166015625,0.15234375,0.103515625,0.1044921875,0.103515625,0.1103515625,0.1796875,0.1552734375,0.1982421875,0.15625,0.1962890625,0.181640625,0.083984375,0.1064453125
6,model_5,0.14460227272727272,0.1669921875,0.0947265625,0.1796875,0.1162109375,0.1474609375,0.2060546875,0.095703125,0.0908203125,0.111328125,0.08984375,0.09765625,0.1650390625,0.091796875,0.1357421875,0.08984375,0.1875,0.162109375,0.1103515625,0.1201171875,0.1123046875,0.109375,0.173828125,0.1513671875,0.1962890625,0.2626953125,0.15625,0.1474609375,0.083984375,0.0986328125,0.1162109375,0.1396484375,0.17578125,0.2705078125,0.0888671875,0.1474609375,0.103515625,0.185546875,0.1689453125,0.109375,0.19140625,0.1884765625,0.197265625,0.1572265625,0.1298828125,0.1044921875,0.103515625,0.181640625,0.1796875,0.1552734375,0.1826171875,0.1181640625,0.1962890625,0.2197265625,0.083984375,0.1064453125
7,model_6,0.14865056818181818,0.1669921875,0.0947265625,0.1689453125,0.1162109375,0.1474609375,0.1064453125,0.095703125,0.095703125,0.111328125,0.107421875,0.2060546875,0.1650390625,0.0947265625,0.119140625,0.08984375,0.1875,0.1689453125,0.1103515625,0.1201171875,0.1025390625,0.115234375,0.1689453125,0.1513671875,0.123046875,0.2626953125,0.16796875,0.1806640625,0.083984375,0.138671875,0.1162109375,0.1396484375,0.17578125,0.2705078125,0.0888671875,0.16015625,0.1005859375,0.1923828125,0.1298828125,0.1923828125,0.1552734375,0.115234375,0.197265625,0.1572265625,0.1943359375,0.1044921875,0.1533203125,0.181640625,0.1796875,0.1728515625,0.26171875,0.126953125,0.0986328125,0.171875,0.2646484375,0.1064453125
8,model_7,0.1555752840909091,0.158203125,0.0947265625,0.1640625,0.1162109375,0.150390625,0.1064453125,0.095703125,0.095703125,0.15234375,0.107421875,0.2060546875,0.1650390625,0.091796875,0.119140625,0.08984375,0.2392578125,0.1083984375,0.0947265625,0.1943359375,0.1376953125,0.1552734375,0.1689453125,0.1513671875,0.13671875,0.2646484375,0.16796875,0.1806640625,0.0947265625,0.138671875,0.1162109375,0.1953125,0.17578125,0.2744140625,0.1552734375,0.16015625,0.1005859375,0.173828125,0.1279296875,0.1806640625,0.1552734375,0.11328125,0.166015625,0.1728515625,0.1943359375,0.1044921875,0.1533203125,0.158203125,0.244140625,0.1611328125,0.20703125,0.146484375,0.1953125,0.203125,0.2685546875,0.1064453125
9,model_8,0.1644353693181818,0.158203125,0.1328125,0.1875,0.1162109375,0.150390625,0.1064453125,0.095703125,0.212890625,0.15234375,0.1376953125,0.22265625,0.1650390625,0.091796875,0.119140625,0.08984375,0.2236328125,0.1083984375,0.0947265625,0.1943359375,0.1376953125,0.1552734375,0.1865234375,0.0986328125,0.13671875,0.2646484375,0.1572265625,0.1806640625,0.11328125,0.1708984375,0.1396484375,0.1953125,0.2001953125,0.2744140625,0.1552734375,0.171875,0.17578125,0.173828125,0.095703125,0.1806640625,0.216796875,0.11328125,0.1201171875,0.189453125,0.169921875,0.134765625,0.2568359375,0.1689453125,0.244140625,0.126953125,0.251953125,0.146484375,0.16015625,0.1875,0.267578125,0.1650390625
